id,census_geoid_12,validThrough
ocd-division/country:us/state:ca/sldl:54,sldl-06054,
ocd-division/country:us/state:ca/sldl:55,sldl-06055,
ocd-division/country:us/state:ca/sldl:56,sldl-06056,
ocd-division/country:us/state:ca/sldl:57,sldl-06057,
ocd-division/country:us/state:ca/sldl:58,sldl-06058,
ocd-division/country:us/state:ca/sldl:59,sldl-06059,
ocd-division/country:us/state:ca/sldl:60,sldl-06060,
ocd-division/country:us/state:ca/sldl:61,sldl-06061,
ocd-division/country:us/state:ca/sldl:62,sldl-06062,
ocd-division/country:us/state:ca/sldl:63,sldl-06063,
ocd-division/country:us/state:ca/sldl:64,sldl-06064,
ocd-division/country:us/state:ca/sldl:65,sldl-06065,
ocd-division/country:us/state:ca/sldl:66,sldl-06066,
ocd-division/country:us/state:ca/sldl:67,sldl-06067,
ocd-division/country:us/state:ca/sldl:68,sldl-06068,
ocd-division/country:us/state:ca/sldl:69,sldl-06069,
ocd-division/country:us/state:ca/sldl:70,sldl-06070,
ocd-division/country:us/state:ca/sldl:71,sldl-06071,
ocd-division/country:us/state:ca/sldl:72,sldl-06072,
ocd-division/country:us/state:ca/sldl:73,sldl-06073,
ocd-division/country:us/state:ca/sldl:74,sldl-06074,
ocd-division/country:us/state:ca/sldl:75,sldl-06075,
ocd-division/country:us/state:ca/sldl:76,sldl-06076,
ocd-division/country:us/state:ca/sldl:77,sldl-06077,
ocd-division/country:us/state:ca/sldl:78,sldl-06078,
ocd-division/country:us/state:ca/sldl:79,sldl-06079,
ocd-division/country:us/state:ca/sldl:80,sldl-06080,
ocd-division/country:us/state:co/sldl:1,sldl-08001,
ocd-division/country:us/state:co/sldl:2,sldl-08002,
ocd-division/country:us/state:co/sldl:3,sldl-08003,
ocd-division/country:us/state:co/sldl:4,sldl-08004,
ocd-division/country:us/state:co/sldl:5,sldl-08005,
ocd-division/country:us/state:co/sldl:6,sldl-08006,
ocd-division/country:us/state:co/sldl:7,sldl-08007,
ocd-division/country:us/state:co/sldl:8,sldl-08008,
ocd-division/country:us/state:co/sldl:9,sldl-08009,
ocd-division/country:us/state:co/sldl:10,sldl-08010,
ocd-division/country:us/state:co/sldl:11,sldl-08011,
ocd-division/country:us/state:co/sldl:12,sldl-08012,
ocd-division/country:us/state:co/sldl:13,sldl-08013,
ocd-division/country:us/state:co/sldl:14,sldl-08014,
ocd-division/country:us/state:co/sldl:15,sldl-08015,
ocd-division/country:us/state:co/sldl:16,sldl-08016,
ocd-division/country:us/state:co/sldl:17,sldl-08017,
ocd-division/country:us/state:co/sldl:18,sldl-08018,
ocd-division/country:us/state:co/sldl:19,sldl-08019,
ocd-division/country:us/state:co/sldl:20,sldl-08020,
ocd-division/country:us/state:co/sldl:21,sldl-08021,
ocd-division/country:us/state:co/sldl:22,sldl-08022,
ocd-division/country:us/state:co/sldl:23,sldl-08023,
ocd-division/country:us/state:co/sldl:24,sldl-08024,
ocd-division/country:us/state:co/sldl:25,sldl-08025,
ocd-division/country:us/state:co/sldl:26,sldl-08026,
ocd-division/country:us/state:co/sldl:27,sldl-08027,
ocd-division/country:us/state:co/sldl:28,sldl-08028,
ocd-division/country:us/state:co/sldl:29,sldl-08029,
ocd-division/country:us/state:co/sldl:30,sldl-08030,
ocd-division/country:us/state:co/sldl:31,sldl-08031,
ocd-division/country:us/state:co/sldl:32,sldl-08032,
ocd-division/country:us/state:co/sldl:33,sldl-08033,
ocd-division/country:us/state:co/sldl:34,sldl-08034,
ocd-division/country:us/state:co/sldl:35,sldl-08035,
ocd-division/country:us/state:co/sldl:36,sldl-08036,
ocd-division/country:us/state:co/sldl:37,sldl-08037,
ocd-division/country:us/state:co/sldl:38,sldl-08038,
ocd-division/country:us/state:co/sldl:39,sldl-08039,
ocd-division/country:us/state:co/sldl:40,sldl-08040,
ocd-division/country:us/state:co/sldl:41,sldl-08041,
ocd-division/country:us/state:co/sldl:42,sldl-08042,
ocd-division/country:us/state:co/sldl:43,sldl-08043,
ocd-division/country:us/state:co/sldl:44,sldl-08044,
ocd-division/country:us/state:co/sldl:45,sldl-08045,
ocd-division/country:us/state:co/sldl:46,sldl-08046,
ocd-division/country:us/state:co/sldl:47,sldl-08047,
ocd-division/country:us/state:co/sldl:48,sldl-08048,
ocd-division/country:us/state:co/sldl:49,sldl-08049,
ocd-division/country:us/state:co/sldl:50,sldl-08050,
ocd-division/country:us/state:co/sldl:51,sldl-08051,
ocd-division/country:us/state:co/sldl:52,sldl-08052,
ocd-division/country:us/state:co/sldl:53,sldl-08053,
ocd-division/country:us/state:co/sldl:54,sldl-08054,
ocd-division/country:us/state:co/sldl:55,sldl-08055,
ocd-division/country:us/state:co/sldl:56,sldl-08056,
ocd-division/country:us/state:co/sldl:57,sldl-08057,
ocd-division/country:us/state:co/sldl:58,sldl-08058,
ocd-division/country:us/state:co/sldl:59,sldl-08059,
ocd-division/country:us/state:co/sldl:60,sldl-08060,
ocd-division/country:us/state:co/sldl:61,sldl-08061,
ocd-division/country:us/state:co/sldl:62,sldl-08062,
ocd-division/country:us/state:co/sldl:63,sldl-08063,
ocd-division/country:us/state:co/sldl:64,sldl-08064,
ocd-division/country:us/state:co/sldl:65,sldl-08065,
ocd-division/country:us/state:ct/sldl:1,sldl-09001,
ocd-division/country:us/state:ct/sldl:2,sldl-09002,
ocd-division/country:us/state:ct/sldl:3,sldl-09003,
ocd-division/country:us/state:ct/sldl:4,sldl-09004,
ocd-division/country:us/state:ct/sldl:5,sldl-09005,
ocd-division/country:us/state:ct/sldl:6,sldl-09006,
ocd-division/country:us/state:ct/sldl:7,sldl-09007,
ocd-division/country:us/state:ct/sldl:8,sldl-09008,
ocd-division/country:us/state:ct/sldl:9,sldl-09009,
ocd-division/country:us/state:ct/sldl:10,sldl-09010,
ocd-division/country:us/state:ct/sldl:11,sldl-09011,
ocd-division/country:us/state:ct/sldl:12,sldl-09012,
ocd-division/country:us/state:ct/sldl:13,sldl-09013,
ocd-division/country:us/state:ct/sldl:14,sldl-09014,
ocd-division/country:us/state:ct/sldl:15,sldl-09015,
