id,name
ocd-division/country:in/state:ar/district:ws/cd:likabali,Likabali (ST); West Siang
ocd-division/country:in/state:ar/district:ws/cd:liromoba,Liromoba (ST); West Siang
ocd-division/country:in/state:ar/district:ws/cd:rumgong,Rumgong (ST); West Siang
ocd-division/country:in/state:as/district:ba/cd:barama,Barama (ST); Baksa
ocd-division/country:in/state:as/district:ba/cd:chapaguri,Chapaguri (ST); Baksa
ocd-division/country:in/state:as/district:ba/cd:tamulpur,Tamulpur; Baksa
ocd-division/country:in/state:as/district:bn/cd:abhayapuri_north,Abhayapuri North; Bongaigaon
ocd-division/country:in/state:as/district:bn/cd:abhayapuri_south,Abhayapuri South (SC); Bongaigaon
ocd-division/country:in/state:as/district:bn/cd:bongaigaon,Bongaigaon; Bongaigaon
ocd-division/country:in/state:as/district:br/cd:baghbor,Baghbor; Barpeta
ocd-division/country:in/state:as/district:br/cd:barpeta,Barpeta; Barpeta
ocd-division/country:in/state:as/district:br/cd:bhabanipur,Bhabanipur; Barpeta
ocd-division/country:in/state:as/district:br/cd:chenga,Chenga; Barpeta
ocd-division/country:in/state:as/district:br/cd:jania,Jania; Barpeta
ocd-division/country:in/state:as/district:br/cd:patacharkuchi,Patacharkuchi; Barpeta
ocd-division/country:in/state:as/district:br/cd:sarukhetri,Sarukhetri; Barpeta
ocd-division/country:in/state:as/district:br/cd:sorbhog,Sorbhog; Barpeta
ocd-division/country:in/state:as/district:bs/cd:bihali,Bihali; Biswanath
ocd-division/country:in/state:as/district:bs/cd:biswanath,Biswanath; Biswanath
ocd-division/country:in/state:as/district:bs/cd:gahpur,Gahpur; Biswanath
ocd-division/country:in/state:as/district:ca/cd:barkhola,Barkhola; Cachar
ocd-division/country:in/state:as/district:ca/cd:dholai,Dholai (SC); Cachar
ocd-division/country:in/state:as/district:ca/cd:katigorah,Katigorah; Cachar
ocd-division/country:in/state:as/district:ca/cd:lakhipur,Lakhipur; Cachar
ocd-division/country:in/state:as/district:ca/cd:silchar,Silchar; Cachar
ocd-division/country:in/state:as/district:ca/cd:sonai,Sonai; Cachar
ocd-division/country:in/state:as/district:ca/cd:udharbond,Udharbond; Cachar
ocd-division/country:in/state:as/district:ch/cd:bijni,Bijni; Chirang
ocd-division/country:in/state:as/district:ch/cd:sidli,Sidli (ST); Chirang
ocd-division/country:in/state:as/district:cr/cd:mahmara,Mahmara; Charaideo
ocd-division/country:in/state:as/district:cr/cd:sonari,Sonari; Charaideo
ocd-division/country:in/state:as/district:da/cd:dalgaon,Dalgaon; Darrang
ocd-division/country:in/state:as/district:da/cd:kalaigaon,Kalaigaon; Darrang
ocd-division/country:in/state:as/district:da/cd:mangaldoi,Mangaldoi (SC); Darrang
ocd-division/country:in/state:as/district:da/cd:sipajhar,Sipajhar; Darrang
ocd-division/country:in/state:as/district:db/cd:chabua,Chabua; Dibrugarh
ocd-division/country:in/state:as/district:db/cd:dibrugarh,Dibrugarh; Dibrugarh
ocd-division/country:in/state:as/district:db/cd:duliajan,Duliajan; Dibrugarh
ocd-division/country:in/state:as/district:db/cd:lahowal,Lahowal; Dibrugarh
ocd-division/country:in/state:as/district:db/cd:moran,Moran; Dibrugarh
ocd-division/country:in/state:as/district:db/cd:naharkatia,Naharkatia; Dibrugarh
ocd-division/country:in/state:as/district:db/cd:tingkhong,Tingkhong; Dibrugarh
ocd-division/country:in/state:as/district:de/cd:dhemaji,Dhemaji (ST); Dhemaji
ocd-division/country:in/state:as/district:de/cd:jonai,Jonai (ST); Dhemaji
ocd-division/country:in/state:as/district:dh/cd:bilasipara_east,Bilasipara East; Dhubri
ocd-division/country:in/state:as/district:dh/cd:bilasipara_west,Bilasipara West; Dhubri
ocd-division/country:in/state:as/district:dh/cd:dhubri,Dhubri; Dhubri
ocd-division/country:in/state:as/district:dh/cd:gauripur,Gauripur; Dhubri
ocd-division/country:in/state:as/district:dh/cd:golakganj,Golakganj; Dhubri
ocd-division/country:in/state:as/district:dm/cd:halflong,Halflong (ST); Dima Hasao
ocd-division/country:in/state:as/district:gl/cd:bokakhat,Bokakhat; Golaghat
ocd-division/country:in/state:as/district:gl/cd:golaghat,Golaghat; Golaghat
ocd-division/country:in/state:as/district:gl/cd:khumtai,Khumtai; Golaghat
ocd-division/country:in/state:as/district:gl/cd:sarupathar,Sarupathar; Golaghat
ocd-division/country:in/state:as/district:go/cd:dudhnoi,Dudhnoi (ST); Goalpara
ocd-division/country:in/state:as/district:go/cd:goalpara_east,Goalpara East; Goalpara
ocd-division/country:in/state:as/district:go/cd:goalpara_west,Goalpara West; Goalpara
ocd-division/country:in/state:as/district:go/cd:jaleswar,Jaleswar; Goalpara
ocd-division/country:in/state:as/district:ha/cd:algapur,Algapur; Hailakandi
ocd-division/country:in/state:as/district:ha/cd:hailakandi,Hailakandi; Hailakandi
ocd-division/country:in/state:as/district:ha/cd:katlicherra,Katlicherra; Hailakandi
ocd-division/country:in/state:as/district:ho/cd:hojai,Hojai; Hojal
ocd-division/country:in/state:as/district:ho/cd:jamunamukh,Jamunamukh; Hojal
ocd-division/country:in/state:as/district:ho/cd:lumding,Lumding; Hojal
ocd-division/country:in/state:as/district:jo/cd:dergaon,Dergaon (SC); Jorhat
ocd-division/country:in/state:as/district:jo/cd:jorhat,Jorhat; Jorhat
ocd-division/country:in/state:as/district:jo/cd:moriani,Moriani; Jorhat
ocd-division/country:in/state:as/district:jo/cd:teok,Teok; Jorhat
ocd-division/country:in/state:as/district:jo/cd:titabor,Titabor; Jorhat
ocd-division/country:in/state:as/district:ka/cd:boko,Boko (SC); Kamrup
ocd-division/country:in/state:as/district:ka/cd:chaygaon,Chaygaon; Kamrup
ocd-division/country:in/state:as/district:ka/cd:hajo,Hajo; Kamrup
ocd-division/country:in/state:as/district:ka/cd:kamalpur,Kamalpur; Kamrup
ocd-division/country:in/state:as/district:ka/cd:palasbari,Palasbari; Kamrup
ocd-division/country:in/state:as/district:ka/cd:rangia,Rangia; Kamrup
ocd-division/country:in/state:as/district:kb/cd:bokajan,Bokajan (ST); Karbi Anglong
ocd-division/country:in/state:as/district:kb/cd:diphu,Diphu (ST); Karbi Anglong
