id,sameAs,sameAsNote
ocd-division/country:in/state:hr/lok_sabha:ambala,ocd-division/country:in/state:hr/cd:ambala,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:hr/lok_sabha:kurukshetra,ocd-division/country:in/state:hr/cd:kurukshetra,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:hr/lok_sabha:sirsa,ocd-division/country:in/state:hr/cd:sirsa,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:hr/lok_sabha:hissar,ocd-division/country:in/state:hr/cd:hissar,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:hr/lok_sabha:karnal,ocd-division/country:in/state:hr/cd:karnal,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:hr/lok_sabha:sonipat,ocd-division/country:in/state:hr/cd:sonipat,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:hr/lok_sabha:rohtak,ocd-division/country:in/state:hr/cd:rohtak,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:hr/lok_sabha:bhiwani-mahendragarh,ocd-division/country:in/state:hr/cd:bhiwani-mahendragarh,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:hr/lok_sabha:gurgaon,ocd-division/country:in/state:hr/cd:gurgaon,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:hr/lok_sabha:faridabad,ocd-division/country:in/state:hr/cd:faridabad,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:hp/lok_sabha:kangra,ocd-division/country:in/state:hp/cd:kangra,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:hp/lok_sabha:mandi,ocd-division/country:in/state:hp/cd:mandi,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:hp/lok_sabha:hamirpur,ocd-division/country:in/state:hp/cd:hamirpur,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:hp/lok_sabha:shimla,ocd-division/country:in/state:hp/cd:shimla,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:jk/lok_sabha:baramulla,ocd-division/country:in/state:jk/cd:baramulla,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:jk/lok_sabha:srinagar,ocd-division/country:in/state:jk/cd:srinagar,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:jk/lok_sabha:anantnag,ocd-division/country:in/state:jk/cd:anantnag,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:jk/lok_sabha:ladakh,ocd-division/country:in/state:jk/cd:ladakh,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:jk/lok_sabha:udhampur,ocd-division/country:in/state:jk/cd:udhampur,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:jk/lok_sabha:jammu,ocd-division/country:in/state:jk/cd:jammu,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:jh/lok_sabha:rajmahal,ocd-division/country:in/state:jh/cd:rajmahal,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:jh/lok_sabha:dumka,ocd-division/country:in/state:jh/cd:dumka,Added for backwards compatibility with lok_sabha identifiers
