id,sameAs
ocd-division/country:uk/pcon:westmorland_and_lonsdale,ocd-division/country:gb/part:eng/region:ukd/ed:westmorland_and_lonsdale
ocd-division/country:uk/pcon:wigan,ocd-division/country:gb/part:eng/region:ukd/ed:wigan
ocd-division/country:uk/pcon:wirral_south,ocd-division/country:gb/part:eng/region:ukd/ed:wirral_south
ocd-division/country:uk/pcon:wirral_west,ocd-division/country:gb/part:eng/region:ukd/ed:wirral_west
ocd-division/country:uk/pcon:workington,ocd-division/country:gb/part:eng/region:ukd/ed:workington
ocd-division/country:uk/pcon:worsley_and_eccles_south,ocd-division/country:gb/part:eng/region:ukd/ed:worsley_and_eccles_south
ocd-division/country:uk/pcon:wyre_and_preston_north,ocd-division/country:gb/part:eng/region:ukd/ed:wyre_and_preston_north
ocd-division/country:uk/pcon:wythenshawe_and_sale_east,ocd-division/country:gb/part:eng/region:ukd/ed:wythenshawe_and_sale_east
ocd-division/country:uk/pcon:barnsley_central,ocd-division/country:gb/part:eng/region:uke/ed:barnsley_central
ocd-division/country:uk/pcon:barnsley_east,ocd-division/country:gb/part:eng/region:uke/ed:barnsley_east
ocd-division/country:uk/pcon:batley_and_spen,ocd-division/country:gb/part:eng/region:uke/ed:batley_and_spen
ocd-division/country:uk/pcon:beverley_and_holderness,ocd-division/country:gb/part:eng/region:uke/ed:beverley_and_holderness
ocd-division/country:uk/pcon:bradford_east,ocd-division/country:gb/part:eng/region:uke/ed:bradford_east
ocd-division/country:uk/pcon:bradford_south,ocd-division/country:gb/part:eng/region:uke/ed:bradford_south
ocd-division/country:uk/pcon:bradford_west,ocd-division/country:gb/part:eng/region:uke/ed:bradford_west
ocd-division/country:uk/pcon:brigg_and_goole,ocd-division/country:gb/part:eng/region:uke/ed:brigg_and_goole
ocd-division/country:uk/pcon:calder_valley,ocd-division/country:gb/part:eng/region:uke/ed:calder_valley
ocd-division/country:uk/pcon:cleethorpes,ocd-division/country:gb/part:eng/region:uke/ed:cleethorpes
ocd-division/country:uk/pcon:colne_valley,ocd-division/country:gb/part:eng/region:uke/ed:colne_valley
ocd-division/country:uk/pcon:dewsbury,ocd-division/country:gb/part:eng/region:uke/ed:dewsbury
ocd-division/country:uk/pcon:don_valley,ocd-division/country:gb/part:eng/region:uke/ed:don_valley
ocd-division/country:uk/pcon:doncaster_central,ocd-division/country:gb/part:eng/region:uke/ed:doncaster_central
ocd-division/country:uk/pcon:doncaster_north,ocd-division/country:gb/part:eng/region:uke/ed:doncaster_north
ocd-division/country:uk/pcon:east_yorkshire,ocd-division/country:gb/part:eng/region:uke/ed:east_yorkshire
ocd-division/country:uk/pcon:elmet_and_rothwell,ocd-division/country:gb/part:eng/region:uke/ed:elmet_and_rothwell
ocd-division/country:uk/pcon:great_grimsby,ocd-division/country:gb/part:eng/region:uke/ed:great_grimsby
ocd-division/country:uk/pcon:halifax,ocd-division/country:gb/part:eng/region:uke/ed:halifax
ocd-division/country:uk/pcon:haltemprice_and_howden,ocd-division/country:gb/part:eng/region:uke/ed:haltemprice_and_howden
ocd-division/country:uk/pcon:harrogate_and_knaresborough,ocd-division/country:gb/part:eng/region:uke/ed:harrogate_and_knaresborough
ocd-division/country:uk/pcon:hemsworth,ocd-division/country:gb/part:eng/region:uke/ed:hemsworth
ocd-division/country:uk/pcon:huddersfield,ocd-division/country:gb/part:eng/region:uke/ed:huddersfield
ocd-division/country:uk/pcon:keighley,ocd-division/country:gb/part:eng/region:uke/ed:keighley
ocd-division/country:uk/pcon:kingston_upon_hull_east,ocd-division/country:gb/part:eng/region:uke/ed:kingston_upon_hull_east
ocd-division/country:uk/pcon:kingston_upon_hull_north,ocd-division/country:gb/part:eng/region:uke/ed:kingston_upon_hull_north
ocd-division/country:uk/pcon:kingston_upon_hull_west_and_hessle,ocd-division/country:gb/part:eng/region:uke/ed:kingston_upon_hull_west_and_hessle
ocd-division/country:uk/pcon:leeds_central,ocd-division/country:gb/part:eng/region:uke/ed:leeds_central
ocd-division/country:uk/pcon:leeds_east,ocd-division/country:gb/part:eng/region:uke/ed:leeds_east
ocd-division/country:uk/pcon:leeds_north_east,ocd-division/country:gb/part:eng/region:uke/ed:leeds_north_east
ocd-division/country:uk/pcon:leeds_north_west,ocd-division/country:gb/part:eng/region:uke/ed:leeds_north_west
ocd-division/country:uk/pcon:leeds_west,ocd-division/country:gb/part:eng/region:uke/ed:leeds_west
ocd-division/country:uk/pcon:morley_and_outwood,ocd-division/country:gb/part:eng/region:uke/ed:morley_and_outwood
ocd-division/country:uk/pcon:normanton_pontefract_and_castleford,ocd-division/country:gb/part:eng/region:uke/ed:normanton_pontefract_and_castleford
