id,openstates_district
ocd-division/country:us/state:ga/sldl:84,ga-lower-84
ocd-division/country:us/state:ga/sldl:85,ga-lower-85
ocd-division/country:us/state:ga/sldl:86,ga-lower-86
ocd-division/country:us/state:ga/sldl:87,ga-lower-87
ocd-division/country:us/state:ga/sldl:88,ga-lower-88
ocd-division/country:us/state:ga/sldl:89,ga-lower-89
ocd-division/country:us/state:ga/sldl:90,ga-lower-90
ocd-division/country:us/state:ga/sldl:91,ga-lower-91
ocd-division/country:us/state:ga/sldl:9,ga-lower-9
ocd-division/country:us/state:ga/sldl:92,ga-lower-92
ocd-division/country:us/state:ga/sldl:93,ga-lower-93
ocd-division/country:us/state:ga/sldl:94,ga-lower-94
ocd-division/country:us/state:ga/sldl:95,ga-lower-95
ocd-division/country:us/state:ga/sldl:96,ga-lower-96
ocd-division/country:us/state:ga/sldl:97,ga-lower-97
ocd-division/country:us/state:ga/sldl:98,ga-lower-98
ocd-division/country:us/state:ga/sldl:99,ga-lower-99
ocd-division/country:us/state:ga/sldu:10,ga-upper-10
ocd-division/country:us/state:ga/sldu:11,ga-upper-11
ocd-division/country:us/state:ga/sldu:1,ga-upper-1
ocd-division/country:us/state:ga/sldu:12,ga-upper-12
ocd-division/country:us/state:ga/sldu:13,ga-upper-13
ocd-division/country:us/state:ga/sldu:14,ga-upper-14
ocd-division/country:us/state:ga/sldu:15,ga-upper-15
ocd-division/country:us/state:ga/sldu:16,ga-upper-16
ocd-division/country:us/state:ga/sldu:17,ga-upper-17
ocd-division/country:us/state:ga/sldu:18,ga-upper-18
ocd-division/country:us/state:ga/sldu:19,ga-upper-19
ocd-division/country:us/state:ga/sldu:20,ga-upper-20
ocd-division/country:us/state:ga/sldu:21,ga-upper-21
ocd-division/country:us/state:ga/sldu:2,ga-upper-2
ocd-division/country:us/state:ga/sldu:22,ga-upper-22
ocd-division/country:us/state:ga/sldu:23,ga-upper-23
ocd-division/country:us/state:ga/sldu:24,ga-upper-24
ocd-division/country:us/state:ga/sldu:25,ga-upper-25
ocd-division/country:us/state:ga/sldu:26,ga-upper-26
ocd-division/country:us/state:ga/sldu:27,ga-upper-27
ocd-division/country:us/state:ga/sldu:28,ga-upper-28
ocd-division/country:us/state:ga/sldu:29,ga-upper-29
ocd-division/country:us/state:ga/sldu:30,ga-upper-30
ocd-division/country:us/state:ga/sldu:31,ga-upper-31
