id,sameAs,sameAsNote,validFrom,validThrough
ocd-division/country:de/land:by/wahlkreis:bamberg,ocd-division/country:de/ed:bamberg,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:by/wahlkreis:bayreuth,ocd-division/country:de/ed:bayreuth,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:by/wahlkreis:coburg,ocd-division/country:de/ed:coburg,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:by/wahlkreis:deggendorf,ocd-division/country:de/ed:deggendorf,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:by/wahlkreis:donau-ries,ocd-division/country:de/ed:donau-ries,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:by/wahlkreis:erding_~_ebersberg,ocd-division/country:de/ed:erding_-_ebersberg,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:by/wahlkreis:erlangen,ocd-division/country:de/ed:erlangen,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:by/wahlkreis:freising,ocd-division/country:de/ed:freising,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:by/wahlkreis:fürstenfeldbruck,ocd-division/country:de/ed:fürstenfeldbruck,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:by/wahlkreis:fürth,ocd-division/country:de/ed:fürth,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:by/wahlkreis:hof,ocd-division/country:de/ed:kulmbach,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:by/wahlkreis:ingolstadt,ocd-division/country:de/ed:ingolstadt,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:by/wahlkreis:kulmbach,ocd-division/country:de/ed:kulmbach,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:by/wahlkreis:landshut,ocd-division/country:de/ed:landshut,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:by/wahlkreis:main-spessart,ocd-division/country:de/ed:main-spessart,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:by/wahlkreis:münchen-land,ocd-division/country:de/ed:münchen-land,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:by/wahlkreis:münchen-nord,ocd-division/country:de/ed:münchen-nord,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:by/wahlkreis:münchen-ost,ocd-division/country:de/ed:münchen-ost,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:by/wahlkreis:münchen-süd,ocd-division/country:de/ed:münchen-süd,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:by/wahlkreis:münchen-west~mitte,ocd-division/country:de/ed:münchen-west~mitte,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:by/wahlkreis:neu-ulm,ocd-division/country:de/ed:neu-ulm,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:by/wahlkreis:nürnberg-nord,ocd-division/country:de/ed:nürnberg-nord,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:by/wahlkreis:nürnberg-süd,ocd-division/country:de/ed:nürnberg-süd,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:by/wahlkreis:oberallgäu,ocd-division/country:de/ed:oberallgäu,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:by/wahlkreis:ostallgäu,ocd-division/country:de/ed:ostallgäu,Added for backwards compatibility with land/wahlkreis identifiers,,
