id,name,ordnance_id
ocd-division/country:uk/cty:cambridgeshire_county/diw:haslingfield_and_the_eversdens_ward,Haslingfield and The Eversdens Ward,E05002806
ocd-division/country:uk/cty:cambridgeshire_county/diw:duxford_ward,Duxford Ward,E05002799
ocd-division/country:uk/cty:cambridgeshire_county/diw:the_shelfords_and_stapleford_ward,The Shelfords and Stapleford Ward,E05002820
ocd-division/country:uk/cty:cambridgeshire_county/diw:the_abingtons_ward,The Abingtons Ward,E05002818
ocd-division/country:uk/cty:cambridgeshire_county/diw:caldecote_ward,Caldecote Ward,E05002796
ocd-division/country:uk/cty:cambridgeshire_county/diw:barton_ward,Barton Ward,E05002793
ocd-division/country:uk/cty:cambridgeshire_county/diw:willingham_and_over_ward,Willingham and Over Ward,E05002824
ocd-division/country:uk/cty:cambridgeshire_county/diw:cottenham_ward,Cottenham Ward,E05002798
ocd-division/country:uk/cty:cambridgeshire_county/diw:waterbeach_ward,Waterbeach Ward,E05002822
ocd-division/country:uk/cty:cambridgeshire_county/diw:the_wilbrahams_ward,The Wilbrahams Ward,E05002821
ocd-division/country:uk/cty:cambridgeshire_county/diw:meldreth_ward,Meldreth Ward,E05002811
ocd-division/country:uk/cty:cambridgeshire_county/diw:fowlmere_and_foxton_ward,Fowlmere and Foxton Ward,E05002800
ocd-division/country:uk/cty:cambridgeshire_county/diw:harston_and_hauxton_ward,Harston and Hauxton Ward,E05002805
ocd-division/country:uk/cty:cambridgeshire_county/diw:whittlesford_ward,Whittlesford Ward,E05002823
ocd-division/country:uk/cty:cambridgeshire_county/diw:sawston_ward,Sawston Ward,E05002815
ocd-division/country:uk/cty:cambridgeshire_county/diw:linton_ward,Linton Ward,E05002808
ocd-division/country:uk/cty:cambridgeshire_county/diw:comberton_ward,Comberton Ward,E05002797
ocd-division/country:uk/cty:cambridgeshire_county/diw:bar_hill_ward,Bar Hill Ward,E05002792
ocd-division/country:uk/cty:cambridgeshire_county/diw:girton_ward,Girton Ward,E05002803
ocd-division/country:uk/cty:cambridgeshire_county/diw:histon_and_impington_ward,Histon and Impington Ward,E05002807
ocd-division/country:uk/cty:cambridgeshire_county/diw:fulbourn_ward,Fulbourn Ward,E05002801
ocd-division/country:uk/cty:cambridgeshire_county/diw:milton_ward,Milton Ward,E05002812
ocd-division/country:uk/cty:cambridgeshire_county/diw:swavesey_ward,Swavesey Ward,E05002816
