id,name,ordnance_id,sameAs
ocd-division/country:uk/cty:buckinghamshire/cpc:dorton,Dorton,E04001476,
ocd-division/country:uk/cty:buckinghamshire/cpc:ashendon,Ashendon,E04001455,
ocd-division/country:uk/cty:buckinghamshire/cpc:haddenham,Haddenham,E04001490,
ocd-division/country:uk/cty:buckinghamshire/cpc:cuddington,Cuddington,E04001474,
ocd-division/country:uk/cty:buckinghamshire/cpc:dinton-with-ford_and_upton,Dinton-with-Ford and Upton,E04001475,
ocd-division/country:uk/cty:buckinghamshire/cpc:nether_winchendon,Nether Winchendon,E04001506,
ocd-division/country:uk/cty:buckinghamshire/cpc:fleet_marston,Fleet Marston,E04001483,
ocd-division/country:uk/cty:buckinghamshire/cpc:ludgershall,Ludgershall,E04001507,
ocd-division/country:uk/cty:buckinghamshire/cpc:westcott,Westcott,E04001549,
ocd-division/country:uk/cty:buckinghamshire/cpc:marsh_gibbon,Marsh Gibbon,E04001509,
ocd-division/country:uk/cty:buckinghamshire/cpc:edgcott,Edgcott,E04001481,
ocd-division/country:uk/cty:buckinghamshire/cpc:charndon,Charndon,E04001467,
ocd-division/country:uk/cty:buckinghamshire/cpc:calvert_green,Calvert Green,E04001562,
ocd-division/country:uk/cty:buckinghamshire/cpc:berryfields,Berryfields,E04001525,
ocd-division/country:uk/cty:buckinghamshire/cpc:hogshaw,Hogshaw,E04001495,
ocd-division/country:uk/cty:buckinghamshire/cpc:oving,Oving,E04001518,
ocd-division/country:uk/cty:buckinghamshire/cpc:north_marston,North Marston,E04001516,
ocd-division/country:uk/cty:buckinghamshire/cpc:poundon,Poundon,E04001522,
ocd-division/country:uk/cty:buckinghamshire/cpc:barton_hartshorn,Barton Hartshorn,E04001459,
ocd-division/country:uk/cty:buckinghamshire/cpc:chetwode,Chetwode,E04001470,
ocd-division/country:uk/cty:buckinghamshire/cpc:westbury,Westbury,E04001548,
ocd-division/country:uk/cty:buckinghamshire/cpc:turweston,Turweston,E04001541,
ocd-division/country:uk/cty:buckinghamshire/cpc:twyford,Twyford,E04001542,
ocd-division/country:uk/cty:buckinghamshire/cpc:steeple_claydon,Steeple Claydon,E04001531,
ocd-division/country:uk/cty:buckinghamshire/cpc:preston_bissett,Preston Bissett,E04001523,
ocd-division/country:uk/cty:buckinghamshire/cpc:tingewick,Tingewick,E04001540,
ocd-division/country:uk/cty:buckinghamshire/cpc:padbury,Padbury,E04001519,
ocd-division/country:uk/cty:buckinghamshire/cpc:gawcott_with_lenborough,Gawcott with Lenborough,E04001485,
ocd-division/country:uk/cty:buckinghamshire/cpc:east_claydon,East Claydon,E04001480,
ocd-division/country:uk/cty:buckinghamshire/cpc:granborough,Granborough,E04001486,
ocd-division/country:uk/cty:buckinghamshire/cpc:winslow,Winslow,E04001555,
ocd-division/country:uk/cty:buckinghamshire/cpc:swanbourne,Swanbourne,E04001537,
ocd-division/country:uk/cty:buckinghamshire/cpc:little_horwood,Little Horwood,E04001504,
ocd-division/country:uk/cty:buckinghamshire/cpc:great_horwood,Great Horwood,E04001488,
ocd-division/country:uk/cty:buckinghamshire/cpc:water_stratford,Water Stratford,E04001545,
ocd-division/country:uk/cty:buckinghamshire/cpc:buckingham,Buckingham,E04001465,
ocd-division/country:uk/cty:buckinghamshire/cpc:maids_moreton,Maids Moreton,E04001508,
ocd-division/country:uk/cty:buckinghamshire/cpc:foscott,Foscott,E04001484,
ocd-division/country:uk/cty:buckinghamshire/cpc:stowe,Stowe,E04001536,
ocd-division/country:uk/cty:buckinghamshire/cpc:akeley,Akeley,E04001454,
