id,name,ordnance_id,sameAs
ocd-division/country:uk/ute:margam,Margam,W05001030,
ocd-division/country:uk/ute:bryn_and_cwmavon,Bryn and Cwmavon,W05001029,
ocd-division/country:uk/ute:cadoxton,Cadoxton,W05000561,
ocd-division/country:uk/ute:rhos,Rhos,W05000585,
ocd-division/country:uk/ute:pontardawe,Pontardawe,W05000582,
ocd-division/country:uk/ute:pelenna,Pelenna,W05000581,
ocd-division/country:uk/ute:cymmer,Cymmer,W05000568,
ocd-division/country:uk/ute:glyncorrwg,Glyncorrwg,W05000570,
ocd-division/country:uk/ute:crynant,Crynant,W05000566,
ocd-division/country:uk/ute:resolven,Resolven,W05000584,
ocd-division/country:uk/ute:seven_sisters,Seven Sisters,W05001034,
ocd-division/country:uk/ute:glynneath,Glynneath,W05000571,
ocd-division/country:uk/ute:onllwyn,Onllwyn,W05001031,
ocd-division/country:uk/ute:lower_brynamman,Lower Brynamman,W05000575,
ocd-division/country:uk/ute:aberavon,Aberavon,W05000551,
ocd-division/country:uk/ute:coedffranc_west,Coedffranc West,W05000565,
ocd-division/country:uk/ute:briton_ferry_west,Briton Ferry West,W05000557,
ocd-division/country:uk/ute:neath_east,Neath East,W05000577,
ocd-division/country:uk/ute:tai-bach,Tai-bach,W05001035,
ocd-division/country:uk/ute:port_talbot,Port Talbot,W05001032,
ocd-division/country:uk/ute:neath_north,Neath North,W05000578,
ocd-division/country:uk/ute:dyffryn,Dyffryn,W05000569,
ocd-division/country:uk/ute:trebanos,Trebanos,W05000591,
ocd-division/country:uk/ute:allt-wen,Allt-Wen,W05000553,
ocd-division/country:uk/ute:bryn-coch_north,Bryn-Coch North,W05000559,
ocd-division/country:uk/ute:gwaun-cae-gurwen,Gwaun-Cae-Gurwen,W05000573,
ocd-division/country:uk/ute:ystalyfera,Ystalyfera,W05000592,
ocd-division/country:uk/ute:cwmllynfell,Cwmllynfell,W05000567,
ocd-division/country:uk/ute:tonna,Tonna,W05000590,
ocd-division/country:uk/ute:aberdulais,Aberdulais,W05000552,
ocd-division/country:uk/ute:gwynfi,Gwynfi,W05000574,
ocd-division/country:uk/ute:blaengwrach,Blaengwrach,W05000555,
ocd-division/country:uk/ute:sandfields_west,Sandfields West,W05000587,
ocd-division/country:uk/ute:sandfields_east,Sandfields East,W05001033,
ocd-division/country:uk/ute:coedffranc_central,Coedffranc Central,W05000563,
