id,name,ordnance_id
ocd-division/country:uk/wmc:dewsbury_co,Dewsbury Co,E14000666
ocd-division/country:uk/wmc:doncaster_central_boro,Doncaster Central Boro,E14000668
ocd-division/country:uk/wmc:doncaster_north_co,Doncaster North Co,E14000669
ocd-division/country:uk/wmc:don_valley_co,Don Valley Co,E14000667
ocd-division/country:uk/wmc:dover_co,Dover Co,E14000670
ocd-division/country:uk/wmc:dudley_north_boro,Dudley North Boro,E14000671
ocd-division/country:uk/wmc:dudley_south_boro,Dudley South Boro,E14000672
ocd-division/country:uk/wmc:dulwich_and_west_norwood_boro,Dulwich and West Norwood Boro,E14000673
ocd-division/country:uk/wmc:dumfriesshire_clydesdale_and_tweeddale_co,"Dumfriesshire, Clydesdale and Tweeddale Co",S14000014
ocd-division/country:uk/wmc:dundee_east_burgh,Dundee East Burgh,S14000015
ocd-division/country:uk/wmc:dundee_west_burgh,Dundee West Burgh,S14000016
ocd-division/country:uk/wmc:dunfermline_and_west_fife_co,Dunfermline and West Fife Co,S14000017
ocd-division/country:uk/wmc:ealing_central_and_acton_boro,Ealing Central and Acton Boro,E14000674
ocd-division/country:uk/wmc:ealing_north_boro,Ealing North Boro,E14000675
ocd-division/country:uk/wmc:ealing_southall_boro,"Ealing, Southall Boro",E14000676
ocd-division/country:uk/wmc:easington_co,Easington Co,E14000677
ocd-division/country:uk/wmc:eastbourne_boro,Eastbourne Boro,E14000684
ocd-division/country:uk/wmc:eastleigh_boro,Eastleigh Boro,E14000685
ocd-division/country:uk/wmc:east_devon_co,East Devon Co,E14000678
ocd-division/country:uk/wmc:east_dunbartonshire_co,East Dunbartonshire Co,S14000018
ocd-division/country:uk/wmc:east_hampshire_co,East Hampshire Co,E14000680
ocd-division/country:uk/wmc:east_ham_boro,East Ham Boro,E14000679
ocd-division/country:uk/wmc:east_kilbride_strathaven_and_lesmahagow_co,"East Kilbride, Strathaven and Lesmahagow Co",S14000019
ocd-division/country:uk/wmc:east_renfrewshire_co,East Renfrewshire Co,S14000021
ocd-division/country:uk/wmc:east_surrey_co,East Surrey Co,E14000681
ocd-division/country:uk/wmc:east_worthing_and_shoreham_co,East Worthing and Shoreham Co,E14000682
ocd-division/country:uk/wmc:east_yorkshire_co,East Yorkshire Co,E14000683
ocd-division/country:uk/wmc:eddisbury_co,Eddisbury Co,E14000686
ocd-division/country:uk/wmc:edinburgh_east_burgh,Edinburgh East Burgh,S14000022
ocd-division/country:uk/wmc:edinburgh_north_and_leith_burgh,Edinburgh North and Leith Burgh,S14000023
ocd-division/country:uk/wmc:edinburgh_south_burgh,Edinburgh South Burgh,S14000024
ocd-division/country:uk/wmc:edinburgh_south_west_burgh,Edinburgh South West Burgh,S14000025
ocd-division/country:uk/wmc:edmonton_boro,Edmonton Boro,E14000687
ocd-division/country:uk/wmc:ellesmere_port_and_neston_co,Ellesmere Port and Neston Co,E14000688
ocd-division/country:uk/wmc:elmet_and_rothwell_co,Elmet and Rothwell Co,E14000689
ocd-division/country:uk/wmc:eltham_boro,Eltham Boro,E14000690
ocd-division/country:uk/wmc:enfield_north_boro,Enfield North Boro,E14000691
ocd-division/country:uk/wmc:enfield_southgate_boro,"Enfield, Southgate Boro",E14000692
ocd-division/country:uk/wmc:epping_forest_co,Epping Forest Co,E14000693
ocd-division/country:uk/wmc:epsom_and_ewell_boro,Epsom and Ewell Boro,E14000694
ocd-division/country:uk/wmc:erewash_co,Erewash Co,E14000695
ocd-division/country:uk/wmc:erith_and_thamesmead_boro,Erith and Thamesmead Boro,E14000696
ocd-division/country:uk/wmc:esher_and_walton_boro,Esher and Walton Boro,E14000697
ocd-division/country:uk/wmc:exeter_boro,Exeter Boro,E14000698
ocd-division/country:uk/wmc:falkirk_co,Falkirk Co,S14000028
ocd-division/country:uk/wmc:fareham_co,Fareham Co,E14000699
ocd-division/country:uk/wmc:faversham_and_mid_kent_co,Faversham and Mid Kent Co,E14000700
ocd-division/country:uk/wmc:feltham_and_heston_boro,Feltham and Heston Boro,E14000701
ocd-division/country:uk/wmc:filton_and_bradley_stoke_co,Filton and Bradley Stoke Co,E14000702
ocd-division/country:uk/wmc:finchley_and_golders_green_boro,Finchley and Golders Green Boro,E14000703
ocd-division/country:uk/wmc:folkestone_and_hythe_co,Folkestone and Hythe Co,E14000704
ocd-division/country:uk/wmc:forest_of_dean_co,Forest of Dean Co,E14000705
ocd-division/country:uk/wmc:fylde_co,Fylde Co,E14000706
ocd-division/country:uk/wmc:gainsborough_co,Gainsborough Co,E14000707
ocd-division/country:uk/wmc:garston_and_halewood_boro,Garston and Halewood Boro,E14000708
ocd-division/country:uk/wmc:gateshead_boro,Gateshead Boro,E14000709
ocd-division/country:uk/wmc:gedling_co,Gedling Co,E14000710
ocd-division/country:uk/wmc:gillingham_and_rainham_boro,Gillingham and Rainham Boro,E14000711
ocd-division/country:uk/wmc:glasgow_central_burgh,Glasgow Central Burgh,S14000029
ocd-division/country:uk/wmc:glasgow_east_burgh,Glasgow East Burgh,S14000030
ocd-division/country:uk/wmc:glasgow_north_burgh,Glasgow North Burgh,S14000031
ocd-division/country:uk/wmc:glasgow_north_east_burgh,Glasgow North East Burgh,S14000032
ocd-division/country:uk/wmc:glasgow_north_west_burgh,Glasgow North West Burgh,S14000033
ocd-division/country:uk/wmc:glasgow_south_burgh,Glasgow South Burgh,S14000034
ocd-division/country:uk/wmc:glasgow_south_west_burgh,Glasgow South West Burgh,S14000035
ocd-division/country:uk/wmc:glenrothes_co,Glenrothes Co,S14000036
ocd-division/country:uk/wmc:gloucester_boro,Gloucester Boro,E14000712
ocd-division/country:uk/wmc:gosport_boro,Gosport Boro,E14000713
ocd-division/country:uk/wmc:gower_co,Gower Co,W07000046
ocd-division/country:uk/wmc:grantham_and_stamford_co,Grantham and Stamford Co,E14000714
ocd-division/country:uk/wmc:gravesham_co,Gravesham Co,E14000715
ocd-division/country:uk/wmc:great_grimsby_boro,Great Grimsby Boro,E14000716
ocd-division/country:uk/wmc:great_yarmouth_co,Great Yarmouth Co,E14000717
ocd-division/country:uk/wmc:greenwich_and_woolwich_boro,Greenwich and Woolwich Boro,E14000718
ocd-division/country:uk/wmc:guildford_co,Guildford Co,E14000719
ocd-division/country:uk/wmc:hackney_north_and_stoke_newington_boro,Hackney North and Stoke Newington Boro,E14000720
ocd-division/country:uk/wmc:hackney_south_and_shoreditch_boro,Hackney South and Shoreditch Boro,E14000721
ocd-division/country:uk/wmc:halesowen_and_rowley_regis_boro,Halesowen and Rowley Regis Boro,E14000722
ocd-division/country:uk/wmc:halifax_boro,Halifax Boro,E14000723
ocd-division/country:uk/wmc:haltemprice_and_howden_co,Haltemprice and Howden Co,E14000724
ocd-division/country:uk/wmc:halton_co,Halton Co,E14000725
ocd-division/country:uk/wmc:hammersmith_boro,Hammersmith Boro,E14000726
ocd-division/country:uk/wmc:hampstead_and_kilburn_boro,Hampstead and Kilburn Boro,E14000727
ocd-division/country:uk/wmc:harborough_co,Harborough Co,E14000728
ocd-division/country:uk/wmc:harlow_co,Harlow Co,E14000729
ocd-division/country:uk/wmc:harrogate_and_knaresborough_co,Harrogate and Knaresborough Co,E14000730
ocd-division/country:uk/wmc:harrow_east_boro,Harrow East Boro,E14000731
ocd-division/country:uk/wmc:harrow_west_boro,Harrow West Boro,E14000732
ocd-division/country:uk/wmc:hartlepool_boro,Hartlepool Boro,E14000733
ocd-division/country:uk/wmc:harwich_and_north_essex_co,Harwich and North Essex Co,E14000734
ocd-division/country:uk/wmc:hastings_and_rye_co,Hastings and Rye Co,E14000735
ocd-division/country:uk/wmc:havant_boro,Havant Boro,E14000736
ocd-division/country:uk/wmc:hayes_and_harlington_boro,Hayes and Harlington Boro,E14000737
ocd-division/country:uk/wmc:hazel_grove_co,Hazel Grove Co,E14000738
ocd-division/country:uk/wmc:hemel_hempstead_co,Hemel Hempstead Co,E14000739
ocd-division/country:uk/wmc:hemsworth_co,Hemsworth Co,E14000740
ocd-division/country:uk/wmc:hendon_boro,Hendon Boro,E14000741
