id,name,sameAs
ocd-division/country:ca/province:on/fed:waterloo-1968,Waterloo,ocd-division/country:ca/province:on/fed:waterloo-cambridge
ocd-division/country:ca/province:on/fed:wellington-grey,Wellington—Grey,ocd-division/country:ca/province:on/fed:wellington-grey-dufferin-waterloo
ocd-division/country:ca/province:on/fed:wentworth-burlington,Wentworth—Burlington,ocd-division/country:ca/province:on/fed:ancaster-dundas-flamborough-aldershot
ocd-division/country:ca/province:on/fed:york_west-1917,York West,ocd-division/country:ca/province:on/fed:humber_river-black_creek
ocd-division/country:ca/province:qc/fed:abitibi,Abitibi,ocd-division/country:ca/province:qc/fed:abitibi-baie-james-nunavik
ocd-division/country:ca/province:qc/fed:argenteuil-1968,Argenteuil,ocd-division/country:ca/province:qc/fed:argenteuil-deux-montagnes
ocd-division/country:ca/province:qc/fed:argenteuil-1979,Argenteuil,ocd-division/country:ca/province:qc/fed:argenteuil-deux-montagnes
ocd-division/country:ca/province:qc/fed:argenteuil-mirabel,Argenteuil—Mirabel,ocd-division/country:ca/province:qc/fed:argenteuil-papineau-mirabel
ocd-division/country:ca/province:qc/fed:argenteuil-papineau,Argenteuil—Papineau,ocd-division/country:ca/province:qc/fed:argenteuil-papineau-mirabel
ocd-division/country:ca/province:qc/fed:beauharnois-1968,Beauharnois,ocd-division/country:ca/province:qc/fed:beauharnois-salaberry
ocd-division/country:ca/province:qc/fed:beauport,Beauport,ocd-division/country:ca/province:qc/fed:beauport-limoilou
ocd-division/country:ca/province:qc/fed:beauport-montmorency-orléans,Beauport—Montmorency—Orléans,ocd-division/country:ca/province:qc/fed:beauport-montmorency-côte-de-beaupré-île-d~orléans
ocd-division/country:ca/province:qc/fed:bellechasse-montmagny-l~islet,Bellechasse—Montmagny—L'Islet,ocd-division/country:ca/province:qc/fed:bellechasse-etchemins-montmagny-l~islet
ocd-division/country:ca/province:qc/fed:berthier-1968,Berthier,ocd-division/country:ca/province:qc/fed:berthier-maskinongé
ocd-division/country:ca/province:qc/fed:berthier-maskinongé-1975,Berthier—Maskinongé,ocd-division/country:ca/province:qc/fed:berthier-maskinongé-lanaudière
ocd-division/country:ca/province:qc/fed:bonaventure,Bonaventure,ocd-division/country:ca/province:qc/fed:bonaventure-îles-de-la-madeleine
ocd-division/country:ca/province:qc/fed:bourassa-1968,Bourassa,ocd-division/country:ca/province:qc/fed:montreal-bourassa
ocd-division/country:ca/province:qc/fed:charlesbourg,Charlesbourg,ocd-division/country:ca/province:qc/fed:charlesbourg-haute-saint-charles
ocd-division/country:ca/province:qc/fed:charlesbourg-2004,Charlesbourg,ocd-division/country:ca/province:qc/fed:charlesbourg-haute-saint-charles
ocd-division/country:ca/province:qc/fed:charlevoix-montmorency-2004,Charlevoix—Montmorency,ocd-division/country:ca/province:qc/fed:beauport-côte-de-beaupré-île_d~orléans-charlevoix
ocd-division/country:ca/province:qc/fed:chicoutimi,Chicoutimi,ocd-division/country:ca/province:qc/fed:chicoutimi-le_fjord
ocd-division/country:ca/province:qc/fed:chicoutimi-2013,Chicoutimi,ocd-division/country:ca/province:qc/fed:chicoutimi-le_fjord
ocd-division/country:ca/province:qc/fed:compton-1968,Compton,ocd-division/country:ca/province:qc/fed:mégantic-compton-stanstead
ocd-division/country:ca/province:qc/fed:duvernay,Duvernay,ocd-division/country:ca/province:qc/fed:laval_east
ocd-division/country:ca/province:qc/fed:hull,Hull,ocd-division/country:ca/province:qc/fed:hull-aylmer
ocd-division/country:ca/province:qc/fed:lac-saint-jean-1949,Lac-Saint-Jean,ocd-division/country:ca/province:qc/fed:lac-saint-jean-saguenay
