id,name,validFrom,validThrough
ocd-division/country:ca/province:bc/ed:esquimalt-juan_de_fuca,Esquimalt—Juan de Fuca,1988-10-01,2015-08-01
ocd-division/country:ca/province:bc/ed:esquimalt-saanich,Esquimalt—Saanich,1953-06-13,1988-09-30
ocd-division/country:ca/province:bc/ed:fraser_valley,Fraser Valley,1919-04-03,1968-04-22
ocd-division/country:ca/province:bc/ed:fraser_valley-1997,Fraser Valley,1997-04-27,2004-05-22
ocd-division/country:ca/province:bc/ed:fraser_valley_east,Fraser Valley East,1968-04-23,1997-04-26
ocd-division/country:ca/province:bc/ed:fraser_valley_west,Fraser Valley West,1968-04-23,1997-04-26
ocd-division/country:ca/province:bc/ed:kamloops,Kamloops,1935-08-14,1968-04-22
ocd-division/country:ca/province:bc/ed:kamloops-cariboo,Kamloops—Cariboo,1968-04-23,1979-03-25
ocd-division/country:ca/province:bc/ed:kamloops-shuswap,Kamloops—Shuswap,1979-03-26,1988-09-30
ocd-division/country:ca/province:bc/ed:kamloops_thompson_and_highland_valleys,"Kamloops, Thompson and Highland Valleys",1998-06-18,2004-05-22
ocd-division/country:ca/province:bc/ed:kootenay,Kootenay,1904-09-20,1917-10-05
ocd-division/country:ca/province:bc/ed:kootenay-boundary-okanagan,Kootenay—Boundary—Okanagan,1998-06-18,2004-05-22
ocd-division/country:ca/province:bc/ed:kootenay_east,Kootenay East,1917-10-06,1968-04-22
ocd-division/country:ca/province:bc/ed:kootenay_east-1988,Kootenay East,1988-10-01,1997-04-26
ocd-division/country:ca/province:bc/ed:kootenay_east-revelstoke,Kootenay East—Revelstoke,1979-03-26,1988-09-30
ocd-division/country:ca/province:bc/ed:kootenay_west,Kootenay West,1917-10-06,1988-09-30
ocd-division/country:ca/province:bc/ed:kootenay_west-revelstoke,Kootenay West—Revelstoke,1988-10-01,1997-04-26
ocd-division/country:ca/province:bc/ed:langley,Langley,2004-05-23,2015-08-01
ocd-division/country:ca/province:bc/ed:langley-abbotsford,Langley—Abbotsford,1997-04-27,2004-05-22
ocd-division/country:ca/province:bc/ed:mission-coquitlam,Mission—Coquitlam,1988-10-01,1997-04-26
ocd-division/country:ca/province:bc/ed:mission-port_moody,Mission—Port Moody,1979-03-26,1988-09-30
ocd-division/country:ca/province:bc/ed:nanaimo-alberni,Nanaimo—Alberni,1979-03-26,1988-09-30
ocd-division/country:ca/province:bc/ed:nanaimo-alberni-1997,Nanaimo—Alberni,1997-04-27,2015-08-01
ocd-division/country:ca/province:bc/ed:nanaimo-cowichan,Nanaimo—Cowichan,1988-10-01,2015-08-01
ocd-division/country:ca/province:bc/ed:nanaimo-cowichan-the_islands,Nanaimo—Cowichan—The Islands,1962-04-18,1979-03-25
ocd-division/country:ca/province:bc/ed:new_westminster,New Westminster,1872-07-08,1979-03-25
ocd-division/country:ca/province:bc/ed:new_westminster-burnaby,New Westminster—Burnaby,1988-10-01,1997-04-26
ocd-division/country:ca/province:bc/ed:new_westminster-coquitlam,New Westminster—Coquitlam,1979-03-26,1988-09-30
ocd-division/country:ca/province:bc/ed:new_westminster-coquitlam-2004,New Westminster—Coquitlam,2004-05-23,2015-08-01
ocd-division/country:ca/province:bc/ed:new_westminster-coquitlam-burnaby,New Westminster—Coquitlam—Burnaby,1997-04-27,2004-05-22
ocd-division/country:ca/province:bc/ed:new_westminster_district,New Westminster District,1871-05-16,1872-07-07
ocd-division/country:ca/province:bc/ed:newton-north_delta,Newton—North Delta,2004-05-23,2015-08-01
ocd-division/country:ca/province:bc/ed:north_island-powell_river,North Island—Powell River,1988-10-01,1997-04-26
ocd-division/country:ca/province:bc/ed:north_vancouver-burnaby,North Vancouver—Burnaby,1979-03-26,1988-09-30
ocd-division/country:ca/province:bc/ed:okanagan-coquihalla,Okanagan—Coquihalla,1997-04-27,2015-08-01
ocd-division/country:ca/province:bc/ed:okanagan-kootenay,Okanagan—Kootenay,1968-04-23,1979-03-25
ocd-division/country:ca/province:bc/ed:okanagan-revelstoke,Okanagan—Revelstoke,1953-06-13,1968-04-22
ocd-division/country:ca/province:bc/ed:okanagan-shuswap,Okanagan—Shuswap,1988-10-01,1997-04-26
ocd-division/country:ca/province:bc/ed:okanagan-shuswap-1997,Okanagan—Shuswap,1997-04-27,2004-05-22
ocd-division/country:ca/province:bc/ed:okanagan-shuswap-2004,Okanagan—Shuswap,2004-09-01,2015-08-01
ocd-division/country:ca/province:bc/ed:okanagan-similkameen,Okanagan—Similkameen,1979-03-26,1988-09-30
ocd-division/country:ca/province:bc/ed:okanagan-similkameen-merritt,Okanagan—Similkameen—Merritt,1988-10-01,1997-04-26
ocd-division/country:ca/province:bc/ed:okanagan_boundary,Okanagan Boundary,1953-06-13,1979-03-25
ocd-division/country:ca/province:bc/ed:okanagan_centre,Okanagan Centre,1988-10-01,1997-04-26
ocd-division/country:ca/province:bc/ed:okanagan_north,Okanagan North,1979-03-26,1988-09-30
ocd-division/country:ca/province:bc/ed:pitt_meadows-maple_ridge-mission,Pitt Meadows—Maple Ridge—Mission,2004-09-01,2015-08-01
ocd-division/country:ca/province:bc/ed:port_moody-coquitlam-port_coquitlam,Port Moody—Coquitlam—Port Coquitlam,1998-06-18,2004-05-22
ocd-division/country:ca/province:bc/ed:port_moody-westwood-port_coquitlam,Port Moody—Westwood—Port Coquitlam,2004-05-23,2015-08-01
ocd-division/country:ca/province:bc/ed:prince_george-bulkley_valley,Prince George—Bulkley Valley,1979-03-26,2004-05-22
ocd-division/country:ca/province:bc/ed:prince_george-peace_river,Prince George—Peace River,1968-04-23,1979-03-25
ocd-division/country:ca/province:bc/ed:prince_george-peace_river-1979,Prince George—Peace River,1979-03-26,2015-08-01
ocd-division/country:ca/province:bc/ed:richmond,Richmond,1988-10-01,2015-08-01
ocd-division/country:ca/province:bc/ed:richmond-south_delta,Richmond—South Delta,1979-03-26,1988-09-30
ocd-division/country:ca/province:bc/ed:skeena,Skeena,1917-10-06,2004-05-22
ocd-division/country:ca/province:bc/ed:south_surrey-white_rock-cloverdale,South Surrey—White Rock—Cloverdale,2004-05-23,2015-08-01
ocd-division/country:ca/province:bc/ed:south_surrey-white_rock-langley,South Surrey—White Rock—Langley,1997-04-27,2004-05-22
ocd-division/country:ca/province:bc/ed:surrey-white_rock,Surrey—White Rock,1971-03-11,1979-03-25
ocd-division/country:ca/province:bc/ed:surrey-white_rock-north_delta,Surrey—White Rock—North Delta,1979-03-26,1988-09-30
ocd-division/country:ca/province:bc/ed:surrey-white_rock-south_langley,Surrey—White Rock—South Langley,1990-12-19,1997-04-26
ocd-division/country:ca/province:bc/ed:surrey_central,Surrey Central,1997-04-27,2004-05-22
ocd-division/country:ca/province:bc/ed:surrey_north,Surrey North,1988-10-01,2015-08-01
ocd-division/country:ca/province:bc/ed:vancouver,Vancouver,1872-07-08,1904-09-19
ocd-division/country:ca/province:bc/ed:vancouver-burrard,Vancouver—Burrard,1925-09-05,1968-04-22
ocd-division/country:ca/province:bc/ed:vancouver_city,Vancouver City,1904-09-20,1917-10-05
ocd-division/country:ca/province:bc/ed:vancouver_island,Vancouver Island,1871-05-16,1872-07-07
ocd-division/country:ca/province:bc/ed:vancouver_island_north,Vancouver Island North,1997-04-27,2015-08-01
ocd-division/country:ca/province:bc/ed:vancouver_kingsway,Vancouver Kingsway,1953-06-13,1988-09-30
ocd-division/country:ca/province:bc/ed:vancouver_north,Vancouver North,1925-09-05,1949-04-29
ocd-division/country:ca/province:bc/ed:vancouver_south,Vancouver South,1917-10-06,1997-04-26
ocd-division/country:ca/province:bc/ed:vancouver_south-burnaby,Vancouver South—Burnaby,1997-04-27,2004-05-22
ocd-division/country:ca/province:bc/ed:victoria,Victoria,1872-07-08,1904-09-19
ocd-division/country:ca/province:bc/ed:victoria_city,Victoria City,1904-09-20,1925-09-04
ocd-division/country:ca/province:bc/ed:yale,Yale,1872-07-08,1896-04-23
ocd-division/country:ca/province:bc/ed:yale-1917,Yale,1917-10-06,1953-06-12
ocd-division/country:ca/province:bc/ed:yale-cariboo,Yale—Cariboo,1896-04-24,1917-10-05
ocd-division/country:ca/province:mb/ed:brandon,Brandon,1896-04-24,1953-06-12
ocd-division/country:ca/province:mb/ed:charleswood-st._james-assiniboia,Charleswood—St. James—Assiniboia,2004-09-01,2015-08-01
ocd-division/country:ca/province:mb/ed:charleswood_st._james-assiniboia,Charleswood St. James—Assiniboia,1998-06-18,2004-05-22
ocd-division/country:ca/province:mb/ed:churchill,Churchill,1935-08-14,2015-08-01
ocd-division/country:ca/province:mb/ed:dauphin-swan_river-marquette,Dauphin—Swan River—Marquette,2004-09-01,2015-08-01
ocd-division/country:ca/province:mb/ed:lisgar,Lisgar,1871-05-01,1988-09-30
ocd-division/country:ca/province:mb/ed:lisgar-marquette,Lisgar—Marquette,1988-10-01,1997-04-26
ocd-division/country:ca/province:mb/ed:macdonald,Macdonald,1896-04-24,1949-04-29
ocd-division/country:ca/province:mb/ed:marquette,Marquette,1871-05-01,1979-03-25
ocd-division/country:ca/province:mb/ed:neepawa,Neepawa,1917-10-06,1949-04-29
ocd-division/country:ca/province:mb/ed:nelson,Nelson,1917-10-06,1935-08-13
ocd-division/country:ca/province:mb/ed:norquay,Norquay,1949-04-30,1953-06-12
ocd-division/country:ca/province:mb/ed:portage,Portage,1968-04-23,1979-03-25
ocd-division/country:ca/province:mb/ed:portage-interlake,Portage—Interlake,1988-10-01,1997-04-26
ocd-division/country:ca/province:mb/ed:portage-marquette,Portage—Marquette,1979-03-26,1988-09-30
ocd-division/country:ca/province:mb/ed:portage-neepawa,Portage—Neepawa,1949-04-30,1968-04-22
ocd-division/country:ca/province:mb/ed:portage_la_prairie,Portage la Prairie,1904-09-20,1949-04-29
ocd-division/country:ca/province:mb/ed:saint_boniface,Saint Boniface,1997-04-27,2015-08-01
ocd-division/country:ca/province:mb/ed:selkirk,Selkirk,1871-05-01,1979-03-25
ocd-division/country:ca/province:mb/ed:selkirk-interlake,Selkirk—Interlake,1979-03-26,1988-09-30
ocd-division/country:ca/province:mb/ed:selkirk-interlake-1997,Selkirk—Interlake,1997-04-27,2015-08-01
ocd-division/country:ca/province:mb/ed:selkirk-red_river,Selkirk—Red River,1990-12-19,1997-04-26
ocd-division/country:ca/province:mb/ed:souris,Souris,1904-09-20,1953-06-12
ocd-division/country:ca/province:mb/ed:springfield,Springfield,1917-10-06,1968-04-22
ocd-division/country:ca/province:mb/ed:winnipeg,Winnipeg,1882-05-17,1917-10-05
ocd-division/country:ca/province:mb/ed:winnipeg-assiniboine,Winnipeg—Assiniboine,1979-03-26,1988-09-30
ocd-division/country:ca/province:mb/ed:winnipeg-birds_hill,Winnipeg—Birds Hill,1979-03-26,1988-09-30
ocd-division/country:ca/province:mb/ed:winnipeg-fort_garry,Winnipeg—Fort Garry,1979-03-26,1988-09-30
ocd-division/country:ca/province:mb/ed:winnipeg-st._james,Winnipeg—St. James,1979-03-26,1997-04-26
ocd-division/country:ca/province:mb/ed:winnipeg-transcona,Winnipeg—Transcona,1997-04-27,2004-05-22
ocd-division/country:ca/province:mb/ed:winnipeg_centre,Winnipeg Centre,1917-10-06,1925-09-04
ocd-division/country:ca/province:mb/ed:winnipeg_north-st._paul,Winnipeg North—St. Paul,1997-04-27,2004-05-22
ocd-division/country:ca/province:mb/ed:winnipeg_north_centre,Winnipeg North Centre,1925-09-05,2004-05-22
ocd-division/country:ca/province:mb/ed:winnipeg_south,Winnipeg South,1917-10-06,1979-03-25
ocd-division/country:ca/province:mb/ed:winnipeg_south_centre,Winnipeg South Centre,1925-09-05,1979-03-25
ocd-division/country:ca/province:mb/ed:winnipeg_transcona,Winnipeg Transcona,1988-10-01,1997-04-26
ocd-division/country:ca/province:nb/ed:albert,Albert,1867-08-06,1904-09-19
ocd-division/country:ca/province:nb/ed:beauséjour-petitcodiac,Beauséjour—Petitcodiac,1997-04-27,2004-05-22
ocd-division/country:ca/province:nb/ed:carleton,Carleton,1867-08-06,1917-10-05
ocd-division/country:ca/province:nb/ed:carleton-charlotte,Carleton—Charlotte,1968-04-23,1997-04-26
ocd-division/country:ca/province:nb/ed:charlotte,Charlotte,1867-08-06,1968-04-22
ocd-division/country:ca/province:nb/ed:fredericton-york-sunbury,Fredericton—York—Sunbury,1989-12-29,1997-04-26
ocd-division/country:ca/province:nb/ed:fundy-royal,Fundy—Royal,1968-04-23,2004-05-22
ocd-division/country:ca/province:nb/ed:kent,Kent,1867-08-06,1968-04-22
ocd-division/country:ca/province:nb/ed:king~s,King's,1867-08-06,1904-09-19
ocd-division/country:ca/province:nb/ed:king~s_and_albert,King's and Albert,1904-09-20,1917-10-05
ocd-division/country:ca/province:nb/ed:madawaska-victoria,Madawaska—Victoria,1968-04-23,1997-04-26
ocd-division/country:ca/province:nb/ed:miramichi,Miramichi,1988-10-01,2015-08-01
ocd-division/country:ca/province:nb/ed:new_brunswick_southwest,New Brunswick Southwest,1998-06-18,2004-05-22
ocd-division/country:ca/province:nb/ed:northumberland-miramichi,Northumberland—Miramichi,1955-03-24,1988-09-30
ocd-division/country:ca/province:nb/ed:queen~s,Queen's,1867-08-06,1896-04-23
ocd-division/country:ca/province:nb/ed:restigouche,Restigouche,1867-08-06,1917-10-05
ocd-division/country:ca/province:nb/ed:restigouche-chaleur,Restigouche—Chaleur,1989-12-29,1997-04-26
ocd-division/country:ca/province:nb/ed:restigouche-madawaska,Restigouche—Madawaska,1917-10-06,1968-04-22
ocd-division/country:ca/province:nb/ed:royal,Royal,1917-10-06,1968-04-22
ocd-division/country:ca/province:nb/ed:saint_john,Saint John,1979-03-26,2015-08-01
ocd-division/country:ca/province:nb/ed:saint_john-lancaster,Saint John—Lancaster,1968-04-23,1979-03-25
ocd-division/country:ca/province:nb/ed:st._john-albert,St. John—Albert,1917-10-06,1968-04-22
ocd-division/country:ca/province:nb/ed:st._john_city_and_county_of,St. John (City and County of),1867-08-06,1917-10-05
