id,name,name_fr,validFrom
ocd-division/country:ca/ed:24060-2013,Repentigny,Repentigny,2015-10-19
ocd-division/country:ca/ed:24061-2013,Richmond—Arthabaska,Richmond—Arthabaska,2015-10-19
ocd-division/country:ca/ed:24062-2013,Rivière-des-Mille-Îles,Rivière-des-Mille-Îles,2015-10-19
ocd-division/country:ca/ed:24063-2013,Rivière-du-Nord,Rivière-du-Nord,2015-10-19
ocd-division/country:ca/ed:24064-2013,Rosemont—La Petite-Patrie,Rosemont—La Petite-Patrie,2015-10-19
ocd-division/country:ca/ed:24065-2013,Marc-Aurèle-Fortin,Marc-Aurèle-Fortin,2015-10-19
ocd-division/country:ca/ed:24066-2013,Saint-Hyacinthe—Bagot,Saint-Hyacinthe—Bagot,2015-10-19
ocd-division/country:ca/ed:24067-2013,Saint-Jean,Saint-Jean,2015-10-19
ocd-division/country:ca/ed:24068-2013,Saint-Laurent,Saint-Laurent,2015-10-19
ocd-division/country:ca/ed:24069-2013,Saint-Léonard—Saint-Michel,Saint-Léonard—Saint-Michel,2015-10-19
ocd-division/country:ca/ed:24070-2013,Saint-Maurice—Champlain,Saint-Maurice—Champlain,2015-10-19
ocd-division/country:ca/ed:24071-2013,Salaberry—Suroît,Salaberry—Suroît,2015-10-19
ocd-division/country:ca/ed:24072-2013,Shefford,Shefford,2015-10-19
ocd-division/country:ca/ed:24073-2013,Sherbrooke,Sherbrooke,2015-10-19
ocd-division/country:ca/ed:24074-2013,Vaudreuil—Soulanges,Vaudreuil—Soulanges,2015-10-19
ocd-division/country:ca/ed:24075-2013,Terrebonne,Terrebonne,2015-10-19
ocd-division/country:ca/ed:24076-2013,Trois-Rivières,Trois-Rivières,2015-10-19
ocd-division/country:ca/ed:24077-2013,Ville-Marie—Le Sud-Ouest—Île-des-Soeurs,Ville-Marie—Le Sud-Ouest—Île-des-Sœurs,2015-10-19
ocd-division/country:ca/ed:24078-2013,Vimy,Vimy,2015-10-19
ocd-division/country:ca/ed:35001-2013,Ajax,Ajax,2015-10-19
ocd-division/country:ca/ed:35002-2013,Algoma—Manitoulin—Kapuskasing,Algoma—Manitoulin—Kapuskasing,2015-10-19
ocd-division/country:ca/ed:35003-2013,Aurora—Oak Ridges—Richmond Hill,Aurora—Oak Ridges—Richmond Hill,2015-10-19
ocd-division/country:ca/ed:35004-2013,Barrie—Innisfil,Barrie—Innisfil,2015-10-19
ocd-division/country:ca/ed:35005-2013,Barrie—Springwater—Oro-Medonte,Barrie—Springwater—Oro-Medonte,2015-10-19
ocd-division/country:ca/ed:35006-2013,Bay of Quinte,Baie de Quinte,2015-10-19
ocd-division/country:ca/ed:35007-2013,Beaches—East York,Beaches—East York,2015-10-19
ocd-division/country:ca/ed:35008-2013,Brampton Centre,Brampton-Centre,2015-10-19
ocd-division/country:ca/ed:35009-2013,Brampton East,Brampton-Est,2015-10-19
ocd-division/country:ca/ed:35010-2013,Brampton North,Brampton-Nord,2015-10-19
ocd-division/country:ca/ed:35011-2013,Brampton South,Brampton-Sud,2015-10-19
ocd-division/country:ca/ed:35012-2013,Brampton West,Brampton-Ouest,2015-10-19
ocd-division/country:ca/ed:35013-2013,Brantford—Brant,Brantford—Brant,2015-10-19
ocd-division/country:ca/ed:35014-2013,Bruce—Grey—Owen Sound,Bruce—Grey—Owen Sound,2015-10-19
ocd-division/country:ca/ed:35015-2013,Burlington,Burlington,2015-10-19
ocd-division/country:ca/ed:35016-2013,Cambridge,Cambridge,2015-10-19
ocd-division/country:ca/ed:35017-2013,Chatham-Kent—Leamington,Chatham-Kent—Leamington,2015-10-19
ocd-division/country:ca/ed:35018-2013,Davenport,Davenport,2015-10-19
ocd-division/country:ca/ed:35019-2013,Don Valley East,Don Valley-Est,2015-10-19
ocd-division/country:ca/ed:35020-2013,Don Valley North,Don Valley-Nord,2015-10-19
ocd-division/country:ca/ed:35021-2013,Don Valley West,Don Valley-Ouest,2015-10-19
ocd-division/country:ca/ed:35022-2013,Dufferin—Caledon,Dufferin—Caledon,2015-10-19
ocd-division/country:ca/ed:35023-2013,Durham,Durham,2015-10-19
ocd-division/country:ca/ed:35024-2013,Eglinton—Lawrence,Eglinton—Lawrence,2015-10-19
ocd-division/country:ca/ed:35025-2013,Elgin—Middlesex—London,Elgin—Middlesex—London,2015-10-19
ocd-division/country:ca/ed:35026-2013,Essex,Essex,2015-10-19
ocd-division/country:ca/ed:35027-2013,Etobicoke Centre,Etobicoke-Centre,2015-10-19
ocd-division/country:ca/ed:35028-2013,Etobicoke—Lakeshore,Etobicoke—Lakeshore,2015-10-19
ocd-division/country:ca/ed:35029-2013,Etobicoke North,Etobicoke-Nord,2015-10-19
ocd-division/country:ca/ed:35030-2013,Flamborough—Glanbrook,Flamborough—Glanbrook,2015-10-19
ocd-division/country:ca/ed:35031-2013,Glengarry—Prescott—Russell,Glengarry—Prescott—Russell,2015-10-19
ocd-division/country:ca/ed:35032-2013,Guelph,Guelph,2015-10-19
ocd-division/country:ca/ed:35033-2013,Haldimand—Norfolk,Haldimand—Norfolk,2015-10-19
ocd-division/country:ca/ed:35034-2013,Haliburton—Kawartha Lakes—Brock,Haliburton—Kawartha Lakes—Brock,2015-10-19
ocd-division/country:ca/ed:35035-2013,Hamilton Centre,Hamilton-Centre,2015-10-19
ocd-division/country:ca/ed:35036-2013,Hamilton East—Stoney Creek,Hamilton-Est—Stoney Creek,2015-10-19
ocd-division/country:ca/ed:35037-2013,Hamilton Mountain,Hamilton Mountain,2015-10-19
ocd-division/country:ca/ed:35038-2013,Hamilton West—Ancaster—Dundas,Hamilton-Ouest—Ancaster—Dundas,2015-10-19
ocd-division/country:ca/ed:35039-2013,Hastings—Lennox and Addington,Hastings—Lennox and Addington,2015-10-19
ocd-division/country:ca/ed:35040-2013,Huron—Bruce,Huron—Bruce,2015-10-19
ocd-division/country:ca/ed:35041-2013,Kanata—Carleton,Kanata—Carleton,2015-10-19
ocd-division/country:ca/ed:35042-2013,Kenora,Kenora,2015-10-19
ocd-division/country:ca/ed:35043-2013,King—Vaughan,King—Vaughan,2015-10-19
ocd-division/country:ca/ed:35044-2013,Kingston and the Islands,Kingston et les Îles,2015-10-19
ocd-division/country:ca/ed:35045-2013,Kitchener Centre,Kitchener-Centre,2015-10-19
ocd-division/country:ca/ed:35046-2013,Kitchener—Conestoga,Kitchener—Conestoga,2015-10-19
ocd-division/country:ca/ed:35047-2013,Kitchener South—Hespeler,Kitchener-Sud—Hespeler,2015-10-19
ocd-division/country:ca/ed:35048-2013,Lambton—Kent—Middlesex,Lambton—Kent—Middlesex,2015-10-19
ocd-division/country:ca/ed:35049-2013,Lanark—Frontenac—Kingston,Lanark—Frontenac—Kingston,2015-10-19
ocd-division/country:ca/ed:35050-2013,Leeds—Grenville—Thousand Islands and Rideau Lakes,Leeds—Grenville—Thousand Islands et Rideau Lakes,2015-10-19
ocd-division/country:ca/ed:35051-2013,London—Fanshawe,London—Fanshawe,2015-10-19
ocd-division/country:ca/ed:35052-2013,London North Centre,London-Centre-Nord,2015-10-19
ocd-division/country:ca/ed:35053-2013,London West,London-Ouest,2015-10-19
ocd-division/country:ca/ed:35054-2013,Markham—Stouffville,Markham—Stouffville,2015-10-19
ocd-division/country:ca/ed:35055-2013,Markham—Thornhill,Markham—Thornhill,2015-10-19
ocd-division/country:ca/ed:35056-2013,Markham—Unionville,Markham—Unionville,2015-10-19
ocd-division/country:ca/ed:35057-2013,Milton,Milton,2015-10-19
ocd-division/country:ca/ed:35058-2013,Mississauga Centre,Mississauga-Centre,2015-10-19
ocd-division/country:ca/ed:35059-2013,Mississauga East—Cooksville,Mississauga-Est—Cooksville,2015-10-19
ocd-division/country:ca/ed:35060-2013,Mississauga—Erin Mills,Mississauga—Erin Mills,2015-10-19
ocd-division/country:ca/ed:35061-2013,Mississauga—Lakeshore,Mississauga—Lakeshore,2015-10-19
ocd-division/country:ca/ed:35062-2013,Mississauga—Malton,Mississauga—Malton,2015-10-19
ocd-division/country:ca/ed:35063-2013,Mississauga—Streetsville,Mississauga—Streetsville,2015-10-19
ocd-division/country:ca/ed:35064-2013,Nepean,Nepean,2015-10-19
ocd-division/country:ca/ed:35065-2013,Newmarket—Aurora,Newmarket—Aurora,2015-10-19
ocd-division/country:ca/ed:35066-2013,Niagara Centre,Niagara-Centre,2015-10-19
ocd-division/country:ca/ed:35067-2013,Niagara Falls,Niagara Falls,2015-10-19
ocd-division/country:ca/ed:35068-2013,Niagara West,Niagara-Ouest,2015-10-19
ocd-division/country:ca/ed:35069-2013,Nickel Belt,Nickel Belt,2015-10-19
ocd-division/country:ca/ed:35070-2013,Nipissing—Timiskaming,Nipissing—Timiskaming,2015-10-19
ocd-division/country:ca/ed:35071-2013,Northumberland—Peterborough South,Northumberland—Peterborough-Sud,2015-10-19
ocd-division/country:ca/ed:35072-2013,Oakville,Oakville,2015-10-19
ocd-division/country:ca/ed:35073-2013,Oakville North—Burlington,Oakville-Nord—Burlington,2015-10-19
ocd-division/country:ca/ed:35074-2013,Oshawa,Oshawa,2015-10-19
ocd-division/country:ca/ed:35075-2013,Ottawa Centre,Ottawa-Centre,2015-10-19
ocd-division/country:ca/ed:35076-2013,Orléans,Orléans,2015-10-19
ocd-division/country:ca/ed:35077-2013,Ottawa South,Ottawa-Sud,2015-10-19
ocd-division/country:ca/ed:35078-2013,Ottawa—Vanier,Ottawa—Vanier,2015-10-19
ocd-division/country:ca/ed:35079-2013,Ottawa West—Nepean,Ottawa-Ouest—Nepean,2015-10-19
ocd-division/country:ca/ed:35080-2013,Oxford,Oxford,2015-10-19
ocd-division/country:ca/ed:35081-2013,Parkdale—High Park,Parkdale—High Park,2015-10-19
ocd-division/country:ca/ed:35082-2013,Parry Sound—Muskoka,Parry Sound—Muskoka,2015-10-19
ocd-division/country:ca/ed:35083-2013,Perth—Wellington,Perth—Wellington,2015-10-19
ocd-division/country:ca/ed:35084-2013,Peterborough—Kawartha,Peterborough—Kawartha,2015-10-19
ocd-division/country:ca/ed:35085-2013,Pickering—Uxbridge,Pickering—Uxbridge,2015-10-19
ocd-division/country:ca/ed:35086-2013,Renfrew—Nipissing—Pembroke,Renfrew—Nipissing—Pembroke,2015-10-19
ocd-division/country:ca/ed:35087-2013,Richmond Hill,Richmond Hill,2015-10-19
ocd-division/country:ca/ed:35088-2013,Carleton,Carleton,2015-10-19
ocd-division/country:ca/ed:35089-2013,St. Catharines,St. Catharines,2015-10-19
ocd-division/country:ca/ed:35090-2013,Toronto—St. Paul's,Toronto—St. Paul's,2015-10-19
ocd-division/country:ca/ed:35091-2013,Sarnia—Lambton,Sarnia—Lambton,2015-10-19
ocd-division/country:ca/ed:35092-2013,Sault Ste. Marie,Sault Ste. Marie,2015-10-19
ocd-division/country:ca/ed:35093-2013,Scarborough—Agincourt,Scarborough—Agincourt,2015-10-19
ocd-division/country:ca/ed:35094-2013,Scarborough Centre,Scarborough-Centre,2015-10-19
ocd-division/country:ca/ed:35095-2013,Scarborough—Guildwood,Scarborough—Guildwood,2015-10-19
ocd-division/country:ca/ed:35096-2013,Scarborough North,Scarborough-Nord,2015-10-19
ocd-division/country:ca/ed:35097-2013,Scarborough—Rouge Park,Scarborough—Rouge Park,2015-10-19
ocd-division/country:ca/ed:35098-2013,Scarborough Southwest,Scarborough-Sud-Ouest,2015-10-19
ocd-division/country:ca/ed:35099-2013,Simcoe—Grey,Simcoe—Grey,2015-10-19
ocd-division/country:ca/ed:35100-2013,Simcoe North,Simcoe-Nord,2015-10-19
ocd-division/country:ca/ed:35101-2013,Spadina—Fort York,Spadina—Fort York,2015-10-19
ocd-division/country:ca/ed:35102-2013,Stormont—Dundas—South Glengarry,Stormont—Dundas—South Glengarry,2015-10-19
ocd-division/country:ca/ed:35103-2013,Sudbury,Sudbury,2015-10-19
ocd-division/country:ca/ed:35104-2013,Thornhill,Thornhill,2015-10-19
ocd-division/country:ca/ed:35105-2013,Thunder Bay—Rainy River,Thunder Bay—Rainy River,2015-10-19
ocd-division/country:ca/ed:35106-2013,Thunder Bay—Superior North,Thunder Bay—Supérieur-Nord,2015-10-19
ocd-division/country:ca/ed:35107-2013,Timmins—James Bay,Timmins—Baie James,2015-10-19
ocd-division/country:ca/ed:35108-2013,Toronto Centre,Toronto-Centre,2015-10-19
ocd-division/country:ca/ed:35109-2013,Toronto—Danforth,Toronto—Danforth,2015-10-19
ocd-division/country:ca/ed:35110-2013,University—Rosedale,University—Rosedale,2015-10-19
ocd-division/country:ca/ed:35111-2013,Vaughan—Woodbridge,Vaughan—Woodbridge,2015-10-19
ocd-division/country:ca/ed:35112-2013,Waterloo,Waterloo,2015-10-19
ocd-division/country:ca/ed:35113-2013,Wellington—Halton Hills,Wellington—Halton Hills,2015-10-19
ocd-division/country:ca/ed:35114-2013,Whitby,Whitby,2015-10-19
ocd-division/country:ca/ed:35115-2013,Willowdale,Willowdale,2015-10-19
ocd-division/country:ca/ed:35116-2013,Windsor—Tecumseh,Windsor—Tecumseh,2015-10-19
ocd-division/country:ca/ed:35117-2013,Windsor West,Windsor-Ouest,2015-10-19
ocd-division/country:ca/ed:35118-2013,York Centre,York-Centre,2015-10-19
ocd-division/country:ca/ed:35119-2013,York—Simcoe,York—Simcoe,2015-10-19
ocd-division/country:ca/ed:35120-2013,York South—Weston,York-Sud—Weston,2015-10-19
ocd-division/country:ca/ed:35121-2013,Humber River—Black Creek,Humber River—Black Creek,2015-10-19
ocd-division/country:ca/ed:46001-2013,Brandon—Souris,Brandon—Souris,2015-10-19
ocd-division/country:ca/ed:46001-2013,Brandon—Souris,Brandon—Souris,2015-10-19
ocd-division/country:ca/ed:46002-2013,Charleswood—St. James—Assiniboia—Headingley,Charleswood—St. James—Assiniboia—Headingley,2015-10-19
ocd-division/country:ca/ed:46003-2013,Churchill—Keewatinook Aski,Churchill—Keewatinook Aski,2015-10-19
ocd-division/country:ca/ed:46004-2013,Dauphin—Swan River—Neepawa,Dauphin—Swan River—Neepawa,2015-10-19
ocd-division/country:ca/ed:46005-2013,Elmwood—Transcona,Elmwood—Transcona,2015-10-19
ocd-division/country:ca/ed:46006-2013,Kildonan—St. Paul,Kildonan—St. Paul,2015-10-19
ocd-division/country:ca/ed:46007-2013,Portage—Lisgar,Portage—Lisgar,2015-10-19
ocd-division/country:ca/ed:46008-2013,Provencher,Provencher,2015-10-19
ocd-division/country:ca/ed:46009-2013,Saint Boniface—Saint Vital,Saint-Boniface—Saint-Vital,2015-10-19
ocd-division/country:ca/ed:46010-2013,Selkirk—Interlake—Eastman,Selkirk—Interlake—Eastman,2015-10-19
ocd-division/country:ca/ed:46010-2013,Selkirk—Interlake—Eastman,Selkirk—Interlake—Eastman,2015-10-19
ocd-division/country:ca/ed:46010-2013,Selkirk—Interlake—Eastman,Selkirk—Interlake—Eastman,2015-10-19
ocd-division/country:ca/ed:46010-2013,Selkirk—Interlake—Eastman,Selkirk—Interlake—Eastman,2015-10-19
ocd-division/country:ca/ed:46011-2013,Winnipeg Centre,Winnipeg-Centre,2015-10-19
ocd-division/country:ca/ed:46012-2013,Winnipeg North,Winnipeg-Nord,2015-10-19
ocd-division/country:ca/ed:46013-2013,Winnipeg South,Winnipeg-Sud,2015-10-19
ocd-division/country:ca/ed:46014-2013,Winnipeg South Centre,Winnipeg-Centre-Sud,2015-10-19
ocd-division/country:ca/ed:47001-2013,Battlefords—Lloydminster,Battlefords—Lloydminster,2015-10-19
ocd-division/country:ca/ed:47002-2013,Cypress Hills—Grasslands,Cypress Hills—Grasslands,2015-10-19
ocd-division/country:ca/ed:47003-2013,Desnethé—Missinippi—Churchill River,Desnethé—Missinippi—Rivière Churchill,2015-10-19
ocd-division/country:ca/ed:47004-2013,Carlton Trail—Eagle Creek,Sentier Carlton—Eagle Creek,2015-10-19
ocd-division/country:ca/ed:47005-2013,Moose Jaw—Lake Centre—Lanigan,Moose Jaw—Lake Centre—Lanigan,2015-10-19
ocd-division/country:ca/ed:47006-2013,Prince Albert,Prince Albert,2015-10-19
ocd-division/country:ca/ed:47007-2013,Regina—Lewvan,Regina—Lewvan,2015-10-19
ocd-division/country:ca/ed:47008-2013,Regina—Qu'Appelle,Regina—Qu'Appelle,2015-10-19
ocd-division/country:ca/ed:47009-2013,Regina—Wascana,Regina—Wascana,2015-10-19
