id,name,validFrom
ocd-division/country:ca/province:on/fed:niagara_falls,Niagara Falls,1953-06-13
ocd-division/country:ca/province:on/fed:niagara_west,Niagara West,2015-08-02
ocd-division/country:ca/province:on/fed:nickel_belt,Nickel Belt,1953-06-13
ocd-division/country:ca/province:on/fed:nipissing-timiskaming,Nipissing—Timiskaming,2004-05-23
ocd-division/country:ca/province:on/fed:northumberland-peterborough_south,Northumberland—Peterborough South,2015-08-02
ocd-division/country:ca/province:on/fed:oakville,Oakville,1997-04-27
ocd-division/country:ca/province:on/fed:oakville_north-burlington,Oakville North—Burlington,2015-08-02
ocd-division/country:ca/province:on/fed:orléans,Orléans,2015-08-02
ocd-division/country:ca/province:on/fed:oshawa,Oshawa,1979-03-26
ocd-division/country:ca/province:on/fed:ottawa-vanier,Ottawa—Vanier,1973-12-12
ocd-division/country:ca/province:on/fed:ottawa_centre,Ottawa Centre,1968-04-23
ocd-division/country:ca/province:on/fed:ottawa_south,Ottawa South,1988-10-01
ocd-division/country:ca/province:on/fed:ottawa_west-nepean,Ottawa West—Nepean,1997-04-27
ocd-division/country:ca/province:on/fed:oxford,Oxford,1935-08-14
ocd-division/country:ca/province:on/fed:parkdale-high_park,Parkdale—High Park,1979-03-26
ocd-division/country:ca/province:on/fed:parry_sound-muskoka,Parry Sound—Muskoka,1949-04-30
ocd-division/country:ca/province:on/fed:perth-wellington,Perth—Wellington,2004-05-23
ocd-division/country:ca/province:on/fed:peterborough-kawartha,Peterborough—Kawartha,2015-08-02
ocd-division/country:ca/province:on/fed:pickering-uxbridge,Pickering—Uxbridge,2015-08-02
ocd-division/country:ca/province:on/fed:renfrew-nipissing-pembroke-1989,Renfrew—Nipissing—Pembroke,1989-12-29
ocd-division/country:ca/province:on/fed:richmond_hill,Richmond Hill,2004-05-23
ocd-division/country:ca/province:on/fed:sarnia-lambton-1981,Sarnia—Lambton,1981-01-17
ocd-division/country:ca/province:on/fed:sault_ste._marie,Sault Ste. Marie,1968-04-23
ocd-division/country:ca/province:on/fed:scarborough-agincourt,Scarborough—Agincourt,1988-10-01
