id,name,name_fr,validFrom,validThrough
ocd-division/country:ca/ed:35065,Newmarket—Aurora,Newmarket—Aurora,"",""
ocd-division/country:ca/ed:35066,Niagara Centre,Niagara-Centre,"",""
ocd-division/country:ca/ed:35067,Niagara Falls,Niagara Falls,"",""
ocd-division/country:ca/ed:35068,Niagara West,Niagara-Ouest,"",""
ocd-division/country:ca/ed:35069,Nickel Belt,Nickel Belt,"",""
ocd-division/country:ca/ed:35070,Nipissing—Timiskaming,Nipissing—Timiskaming,"",""
ocd-division/country:ca/ed:35071,Northumberland—Peterborough South,Northumberland—Peterborough-Sud,"",""
ocd-division/country:ca/ed:35072,Oakville,Oakville,"",""
ocd-division/country:ca/ed:35073,Oakville North—Burlington,Oakville-Nord—Burlington,"",""
ocd-division/country:ca/ed:35074,Oshawa,Oshawa,"",""
ocd-division/country:ca/ed:35075,Ottawa Centre,Ottawa-Centre,"",""
ocd-division/country:ca/ed:35076,Orléans,Orléans,"",""
ocd-division/country:ca/ed:35077,Ottawa South,Ottawa-Sud,"",""
ocd-division/country:ca/ed:35078,Ottawa—Vanier,Ottawa—Vanier,"",""
ocd-division/country:ca/ed:35079,Ottawa West—Nepean,Ottawa-Ouest—Nepean,"",""
ocd-division/country:ca/ed:35080,Oxford,Oxford,"",""
ocd-division/country:ca/ed:35081,Parkdale—High Park,Parkdale—High Park,"",""
ocd-division/country:ca/ed:35082,Parry Sound—Muskoka,Parry Sound—Muskoka,"",""
ocd-division/country:ca/ed:35083,Perth—Wellington,Perth—Wellington,"",""
ocd-division/country:ca/ed:35084,Peterborough—Kawartha,Peterborough—Kawartha,"",""
ocd-division/country:ca/ed:35085,Pickering—Uxbridge,Pickering—Uxbridge,"",""
ocd-division/country:ca/ed:35086,Renfrew—Nipissing—Pembroke,Renfrew—Nipissing—Pembroke,"",""
ocd-division/country:ca/ed:35087,Richmond Hill,Richmond Hill,"",""
ocd-division/country:ca/ed:35088,Carleton,Carleton,"",""
ocd-division/country:ca/ed:35089,St. Catharines,St. Catharines,"",""
ocd-division/country:ca/ed:35090,Toronto—St. Paul's,Toronto—St. Paul's,"",""
ocd-division/country:ca/ed:35091,Sarnia—Lambton,Sarnia—Lambton,"",""
ocd-division/country:ca/ed:35092,Sault Ste. Marie,Sault Ste. Marie,"",""
ocd-division/country:ca/ed:35093,Scarborough—Agincourt,Scarborough—Agincourt,"",""
ocd-division/country:ca/ed:35094,Scarborough Centre,Scarborough-Centre,"",""
ocd-division/country:ca/ed:35095,Scarborough—Guildwood,Scarborough—Guildwood,"",""
ocd-division/country:ca/ed:35096,Scarborough North,Scarborough-Nord,"",""
ocd-division/country:ca/ed:35097,Scarborough—Rouge Park,Scarborough—Rouge Park,"",""
ocd-division/country:ca/ed:35098,Scarborough Southwest,Scarborough-Sud-Ouest,"",""
ocd-division/country:ca/ed:35099,Simcoe—Grey,Simcoe—Grey,"",""
ocd-division/country:ca/ed:35100,Simcoe North,Simcoe-Nord,"",""
ocd-division/country:ca/ed:35101,Spadina—Fort York,Spadina—Fort York,"",""
ocd-division/country:ca/ed:35102,Stormont—Dundas—South Glengarry,Stormont—Dundas—South Glengarry,"",""
ocd-division/country:ca/ed:35103,Sudbury,Sudbury,"",""
ocd-division/country:ca/ed:35104,Thornhill,Thornhill,"",""
ocd-division/country:ca/ed:35105,Thunder Bay—Rainy River,Thunder Bay—Rainy River,"",""
ocd-division/country:ca/ed:35106,Thunder Bay—Superior North,Thunder Bay—Supérieur-Nord,"",""
ocd-division/country:ca/ed:35107,Timmins—James Bay,Timmins—Baie James,2015-10-19,""
ocd-division/country:ca/ed:35108,Toronto Centre,Toronto-Centre,2015-10-19,""
ocd-division/country:ca/ed:35109,Toronto—Danforth,Toronto—Danforth,2015-10-19,""
