id,name,validFrom
ocd-division/country:ca/province:on/ed:109-2015,Toronto Centre,2018-06-07
ocd-division/country:ca/province:on/ed:110-2015,Toronto—Danforth,2018-06-07
ocd-division/country:ca/province:on/ed:111-2015,Toronto—St. Paul's,2018-06-07
ocd-division/country:ca/province:on/ed:112-2015,University—Rosedale,2018-06-07
ocd-division/country:ca/province:on/ed:113-2015,Vaughan—Woodbridge,2018-06-07
ocd-division/country:ca/province:on/ed:114-2015,Waterloo,2018-06-07
ocd-division/country:ca/province:on/ed:115-2015,Wellington—Halton Hills,2018-06-07
ocd-division/country:ca/province:on/ed:116-2015,Whitby,2018-06-07
ocd-division/country:ca/province:on/ed:117-2015,Willowdale,2018-06-07
ocd-division/country:ca/province:on/ed:118-2015,Windsor—Tecumseh,2018-06-07
ocd-division/country:ca/province:on/ed:119-2015,Windsor West,2018-06-07
ocd-division/country:ca/province:on/ed:120-2015,York Centre,2018-06-07
ocd-division/country:ca/province:on/ed:121-2015,York—Simcoe,2018-06-07
ocd-division/country:ca/province:on/ed:122-2015,York South—Weston,2018-06-07
