id,parent_id
ocd-division/country:ca/csd:3543023,ocd-division/country:ca/cd:3543
ocd-division/country:ca/csd:3518013,ocd-division/country:ca/cd:3518
ocd-division/country:ca/csd:3515005,ocd-division/country:ca/cd:3515
ocd-division/country:ca/csd:3542059,ocd-division/country:ca/cd:3542
ocd-division/country:ca/csd:3526028,ocd-division/country:ca/cd:3526
ocd-division/country:ca/csd:3543072,ocd-division/country:ca/cd:3543
ocd-division/country:ca/csd:3509021,ocd-division/country:ca/cd:3509
ocd-division/country:ca/csd:3531030,ocd-division/country:ca/cd:3531
ocd-division/country:ca/csd:3531013,ocd-division/country:ca/cd:3531
ocd-division/country:ca/csd:3547076,ocd-division/country:ca/cd:3547
ocd-division/country:ca/csd:3538019,ocd-division/country:ca/cd:3538
ocd-division/country:ca/csd:3518001,ocd-division/country:ca/cd:3518
ocd-division/country:ca/csd:3538035,ocd-division/country:ca/cd:3538
ocd-division/country:ca/csd:3538031,ocd-division/country:ca/cd:3538
ocd-division/country:ca/csd:3526011,ocd-division/country:ca/cd:3526
ocd-division/country:ca/csd:3514020,ocd-division/country:ca/cd:3514
ocd-division/country:ca/csd:3523001,ocd-division/country:ca/cd:3523
ocd-division/country:ca/csd:3543019,ocd-division/country:ca/cd:3543
ocd-division/country:ca/csd:3547048,ocd-division/country:ca/cd:3547
ocd-division/country:ca/csd:3519038,ocd-division/country:ca/cd:3519
ocd-division/country:ca/csd:3507040,ocd-division/country:ca/cd:3507
ocd-division/country:ca/csd:3502048,ocd-division/country:ca/cd:3502
ocd-division/country:ca/csd:3538030,ocd-division/country:ca/cd:3538
ocd-division/country:ca/csd:3541045,ocd-division/country:ca/cd:3541
ocd-division/country:ca/csd:3518020,ocd-division/country:ca/cd:3518
ocd-division/country:ca/csd:3515015,ocd-division/country:ca/cd:3515
ocd-division/country:ca/csd:3543015,ocd-division/country:ca/cd:3543
ocd-division/country:ca/csd:3522021,ocd-division/country:ca/cd:3522
ocd-division/country:ca/csd:3541004,ocd-division/country:ca/cd:3541
ocd-division/country:ca/csd:3541055,ocd-division/country:ca/cd:3541
ocd-division/country:ca/csd:3501020,ocd-division/country:ca/cd:3501
ocd-division/country:ca/csd:3510020,ocd-division/country:ca/cd:3510
ocd-division/country:ca/csd:3501005,ocd-division/country:ca/cd:3501
ocd-division/country:ca/csd:3540005,ocd-division/country:ca/cd:3540
ocd-division/country:ca/csd:3501011,ocd-division/country:ca/cd:3501
ocd-division/country:ca/csd:3532012,ocd-division/country:ca/cd:3532
ocd-division/country:ca/csd:3542005,ocd-division/country:ca/cd:3542
ocd-division/country:ca/csd:3539005,ocd-division/country:ca/cd:3539
ocd-division/country:ca/csd:3534024,ocd-division/country:ca/cd:3534
ocd-division/country:ca/csd:3543009,ocd-division/country:ca/cd:3543
ocd-division/country:ca/csd:3526053,ocd-division/country:ca/cd:3526
ocd-division/country:ca/csd:3538003,ocd-division/country:ca/cd:3538
ocd-division/country:ca/csd:3512020,ocd-division/country:ca/cd:3512
ocd-division/country:ca/csd:3511030,ocd-division/country:ca/cd:3511
ocd-division/country:ca/csd:3539015,ocd-division/country:ca/cd:3539
ocd-division/country:ca/csd:3543071,ocd-division/country:ca/cd:3543
ocd-division/country:ca/csd:3509015,ocd-division/country:ca/cd:3509
ocd-division/country:ca/csd:3537048,ocd-division/country:ca/cd:3537
ocd-division/country:ca/csd:3539027,ocd-division/country:ca/cd:3539
ocd-division/country:ca/csd:3542045,ocd-division/country:ca/cd:3542
ocd-division/country:ca/csd:3502025,ocd-division/country:ca/cd:3502
ocd-division/country:ca/csd:3526037,ocd-division/country:ca/cd:3526
ocd-division/country:ca/csd:3532004,ocd-division/country:ca/cd:3532
ocd-division/country:ca/csd:3543068,ocd-division/country:ca/cd:3543
ocd-division/country:ca/csd:3514045,ocd-division/country:ca/cd:3514
ocd-division/country:ca/csd:3515044,ocd-division/country:ca/cd:3515
ocd-division/country:ca/csd:3512048,ocd-division/country:ca/cd:3512
ocd-division/country:ca/csd:3512030,ocd-division/country:ca/cd:3512
ocd-division/country:ca/csd:3512001,ocd-division/country:ca/cd:3512
ocd-division/country:ca/csd:3518029,ocd-division/country:ca/cd:3518
ocd-division/country:ca/csd:3519028,ocd-division/country:ca/cd:3519
ocd-division/country:ca/csd:3526014,ocd-division/country:ca/cd:3526
ocd-division/country:ca/csd:3538043,ocd-division/country:ca/cd:3538
ocd-division/country:ca/csd:3543064,ocd-division/country:ca/cd:3543
ocd-division/country:ca/csd:3530016,ocd-division/country:ca/cd:3530
ocd-division/country:ca/csd:3526032,ocd-division/country:ca/cd:3526
ocd-division/country:ca/csd:3530027,ocd-division/country:ca/cd:3530
ocd-division/country:ca/csd:3523050,ocd-division/country:ca/cd:3523
ocd-division/country:ca/csd:3534042,ocd-division/country:ca/cd:3534
ocd-division/country:ca/csd:3542004,ocd-division/country:ca/cd:3542
ocd-division/country:ca/csd:3526021,ocd-division/country:ca/cd:3526
ocd-division/country:ca/csd:3531025,ocd-division/country:ca/cd:3531
ocd-division/country:ca/csd:3507033,ocd-division/country:ca/cd:3507
ocd-division/country:ca/csd:3518009,ocd-division/country:ca/cd:3518
ocd-division/country:ca/csd:3519044,ocd-division/country:ca/cd:3519
ocd-division/country:ca/csd:3547056,ocd-division/country:ca/cd:3547
ocd-division/country:ca/csd:3530020,ocd-division/country:ca/cd:3530
ocd-division/country:ca/csd:3512054,ocd-division/country:ca/cd:3512
ocd-division/country:ca/csd:3532042,ocd-division/country:ca/cd:3532
ocd-division/country:ca/csd:3530035,ocd-division/country:ca/cd:3530
ocd-division/country:ca/csd:3532027,ocd-division/country:ca/cd:3532
