USPS	GEOID	NAME	POP10	HU10	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                             
IA	19036	State Senate District 36	59364	25954	4644187532	57968400	    1793.131	      22.382	 41.194599	 -93.037677                                                                                      
IA	19037	State Senate District 37	66229	26746	3137383051	12284073	    1211.350	       4.743	 41.347161	 -93.809718                                                                                      
IA	19038	State Senate District 38	58661	26779	5189401003	9310230	    2003.639	       3.595	 41.549227	 -92.308624                                                                                       
IA	19039	State Senate District 39	62131	26882	65063408	700045	      25.121	       0.270	 41.651549	 -91.518949                                                                                          
IA	19040	State Senate District 40	60420	25675	2446213168	29411290	     944.488	      11.356	 41.678774	 -91.127402                                                                                      
IA	19041	State Senate District 41	61214	27568	102391917	4479553	      39.534	       1.730	 41.563937	 -90.500411                                                                                        
IA	19042	State Senate District 42	62375	26253	2040375471	26146940	     787.793	      10.095	 41.751574	 -90.641815                                                                                      
IA	19043	State Senate District 43	59021	25486	48638580	2968014	      18.779	       1.146	 41.553389	 -90.595586                                                                                         
IA	19044	State Senate District 44	55643	25097	2460649037	83268171	     950.062	      32.150	 41.110542	 -91.226198                                                                                      
IA	19045	State Senate District 45	60365	26844	5081193900	32073412	    1961.860	      12.384	 41.106803	 -91.907680                                                                                      
IA	19046	State Senate District 46	56007	24485	2465270798	61074029	     951.846	      23.581	 40.791581	 -91.506879                                                                                      
IA	19047	State Senate District 47	57346	26627	4369529294	65202134	    1687.085	      25.175	 40.768927	 -92.838381                                                                                      
IA	19048	State Senate District 48	56494	26826	8551176804	34861813	    3301.628	      13.460	 40.887537	 -94.367553                                                                                      
IA	19049	State Senate District 49	60560	25858	5018692119	31935854	    1937.728	      12.331	 40.938325	 -95.470142                                                                                      
IA	19050	State Senate District 50	60771	25745	97607766	6629397	      37.687	       2.560	 41.243272	 -95.865470                                                                                         
KS	20001	State Senate District 1	69919	29750	7492026396	81438709	    2892.688	      31.444	 39.559757	 -95.749093                                                                                       
KS	20002	State Senate District 2	74901	31589	374856077	34724209	     144.733	      13.407	 38.954683	 -95.387353                                                                                        
KS	20003	State Senate District 3	81860	33702	2914889240	84540570	    1125.445	      32.641	 39.157329	 -95.232132                                                                                       
KS	20004	State Senate District 4	62358	27730	88894607	3491790	      34.322	       1.348	 39.134545	 -94.677845                                                                                          
KS	20005	State Senate District 5	75528	28813	316677721	9232996	     122.270	       3.565	 39.194351	 -94.872656                                                                                         
KS	20006	State Senate District 6	66722	27486	130795190	4091431	      50.500	       1.580	 39.073472	 -94.725465                                                                                         
KS	20007	State Senate District 7	66551	32339	56939405	87507	      21.984	       0.034	 39.009499	 -94.645445                                                                                            
KS	20008	State Senate District 8	63197	29749	41410122	70005	      15.989	       0.027	 38.968788	 -94.684519                                                                                            
KS	20009	State Senate District 9	88376	35542	338058517	7015746	     130.525	       2.709	 38.926454	 -94.907027                                                                                         
KS	20010	State Senate District 10	76355	30988	124350540	3203150	      48.012	       1.237	 39.011744	 -94.803627                                                                                        
KS	20011	State Senate District 11	69452	30697	73595082	364840	      28.415	       0.141	 38.909643	 -94.653560                                                                                          
KS	20012	State Senate District 12	70151	30813	4655992506	83772174	    1797.689	      32.345	 38.428627	 -94.981237                                                                                      
KS	20013	State Senate District 13	65565	29965	4067534558	28995094	    1570.484	      11.195	 37.583474	 -94.840595                                                                                      
KS	20014	State Senate District 14	61993	28993	4051721644	39924231	    1564.379	      15.415	 37.302426	 -95.257147                                                                                      
KS	20015	State Senate District 15	63117	30886	10710637481	131057489	    4135.400	      50.602	 37.627615	 -95.788979                                                                                    
KS	20016	State Senate District 16	70811	29123	5462511658	61479285	    2109.088	      23.737	 37.775454	 -96.649907                                                                                      
KS	20017	State Senate District 17	62307	29435	10810006290	155361402	    4173.767	      59.985	 38.388912	 -96.413814                                                                                    
KS	20018	State Senate District 18	67438	30699	2716120873	29407521	    1048.700	      11.354	 38.999672	 -96.104949                                                                                      
KS	20019	State Senate District 19	65414	27720	1665922237	17692312	     643.216	       6.831	 38.789554	 -95.637276                                                                                      
KS	20020	State Senate District 20	67196	30811	466336278	7467676	     180.053	       2.883	 38.952602	 -95.786700                                                                                        
KS	20021	State Senate District 21	61803	30002	14072562542	106157075	    5433.447	      40.987	 39.677926	 -97.100007                                                                                    
KS	20022	State Senate District 22	95140	38173	1774283882	56962609	     685.055	      21.993	 39.071574	 -96.724568                                                                                      
KS	20023	State Senate District 23	91066	32839	378647339	3842507	     146.197	       1.484	 38.804209	 -94.902479                                                                                        
KS	20024	State Senate District 24	71161	31169	3918598008	6883860	    1512.979	       2.658	 38.951897	 -97.632858                                                                                       
KS	20025	State Senate District 25	75868	34811	142341095	6882257	      54.958	       2.657	 37.745261	 -97.399144                                                                                        
KS	20026	State Senate District 26	82246	30778	1517392331	12308949	     585.868	       4.753	 37.647592	 -97.568311                                                                                      
KS	20027	State Senate District 27	74202	30800	90180870	3278965	      34.819	       1.266	 37.685094	 -97.448144                                                                                         
KS	20028	State Senate District 28	65583	27018	173348979	3780498	      66.930	       1.460	 37.611438	 -97.250094                                                                                        
KS	20029	State Senate District 29	68805	32053	56841566	863422	      21.947	       0.333	 37.710496	 -97.304177                                                                                          
KS	20030	State Senate District 30	81936	36654	104463532	1145653	      40.334	       0.442	 37.686965	 -97.217458                                                                                        
KS	20031	State Senate District 31	78681	31878	1851048897	4041832	     714.694	       1.561	 37.992254	 -97.399597                                                                                       
KS	20032	State Senate District 32	66171	29023	6022774552	25370630	    2325.406	       9.796	 37.245722	 -97.159992                                                                                      
KS	20033	State Senate District 33	64554	31439	19188311166	37842740	    7408.649	      14.611	 37.561415	 -98.803445                                                                                     
KS	20034	State Senate District 34	64511	28274	3251332369	43417440	    1255.346	      16.764	 37.948185	 -98.078346                                                                                      
KS	20035	State Senate District 35	66006	30293	11412008603	55773727	    4406.201	      21.534	 38.423578	 -98.335369                                                                                     
KS	20036	State Senate District 36	68097	34106	20382889600	115207188	    7869.878	      44.482	 39.050806	 -99.053616                                                                                    
KS	20037	State Senate District 37	91466	35233	218231422	2456637	      84.260	       0.949	 38.818592	 -94.692495                                                                                        
KS	20038	State Senate District 38	70617	25797	11314607651	12046687	    4368.595	       4.651	 37.464679	-100.285439                                                                                     
KS	20039	State Senate District 39	64662	24625	16250146774	8632798	    6274.217	       3.333	 37.714431	-101.341155                                                                                      
KS	20040	State Senate District 40	61332	31420	43074808313	55555319	   16631.277	      21.450	 39.144271	-100.748002                                                                                     
KY	21001	State Senate District 1	113784	55598	5773730644	411110426	    2229.250	     158.731	 36.745429	 -88.476173                                                                                     
KY	21002	State Senate District 2	105262	50712	2063327291	221120801	     796.655	      85.375	 36.988889	 -88.648307                                                                                     
KY	21003	State Senate District 3	113250	47084	4258278519	36257028	    1644.131	      13.999	 36.872559	 -87.210833                                                                                      
KY	21004	State Senate District 4	106696	48082	5514942177	252799740	    2129.331	      97.607	 37.465929	 -87.909810                                                                                     
KY	21005	State Senate District 5	115364	54418	5777100461	183806934	    2230.551	      70.968	 37.673177	 -86.230614                                                                                     
KY	21006	State Senate District 6	102261	45098	4134521851	87268634	    1596.348	      33.695	 37.345214	 -87.167313                                                                                      
KY	21007	State Senate District 7	128013	55273	1871137542	26872580	     722.450	      10.376	 38.105322	 -84.797071                                                                                      
KY	21008	State Senate District 8	106187	45716	1841016584	56946558	     710.821	      21.987	 37.664375	 -87.147386                                                                                      
KY	21009	State Senate District 9	112974	52402	5036608115	82015606	    1944.645	      31.666	 36.983286	 -86.000140                                                                                      
KY	21010	State Senate District 10	120533	49410	1652022641	24431493	     637.850	       9.433	 37.706041	 -85.957967                                                                                     
KY	21011	State Senate District 11	137257	54493	912736228	35409462	     352.409	      13.672	 38.904861	 -84.759203                                                                                      
KY	21012	State Senate District 12	115570	54474	311888472	3674575	     120.421	       1.419	 37.967746	 -84.453326                                                                                       
KY	21013	State Senate District 13	115700	55269	84149584	112207	      32.490	       0.043	 38.045365	 -84.488944                                                                                         
KY	21014	State Senate District 14	120817	52106	4073821234	76025600	    1572.911	      29.354	 37.675107	 -85.261070                                                                                     
KY	21015	State Senate District 15	115239	57491	4562464770	146560637	    1761.578	      56.587	 37.134850	 -84.897433                                                                                    
KY	21016	State Senate District 16	102847	47820	5580398510	139870293	    2154.604	      54.004	 36.736698	 -84.879709                                                                                    
KY	21017	State Senate District 17	133729	53650	2614248387	29979301	    1009.367	      11.575	 38.525977	 -84.639027                                                                                     
KY	21018	State Senate District 18	106760	48162	4616341934	90731281	    1782.380	      35.032	 38.504864	 -83.406587                                                                                     
KY	21019	State Senate District 19	110306	53582	76654543	325220	      29.596	       0.126	 38.217944	 -85.654673                                                                                         
KY	21020	State Senate District 20	133454	52628	2236033928	36923666	     863.338	      14.256	 38.087714	 -85.406182                                                                                     
KY	21021	State Senate District 21	105934	48176	3664303699	44231050	    1414.796	      17.078	 37.505121	 -83.951122                                                                                     
KY	21022	State Senate District 22	126095	52252	1525534519	22692261	     589.012	       8.762	 37.703940	 -84.654063                                                                                     
KY	21023	State Senate District 23	98810	45651	95569956	5313611	      36.900	       2.052	 39.037731	 -84.553485                                                                                         
KY	21024	State Senate District 24	105213	45862	1109720045	33340563	     428.465	      12.873	 38.785756	 -84.369975                                                                                     
KY	21025	State Senate District 25	100866	44564	5629469108	27267126	    2173.550	      10.528	 37.058312	 -83.770685                                                                                     
KY	21026	State Senate District 26	134003	52881	2018367415	79399443	     779.296	      30.656	 38.501445	 -85.259733                                                                                     
KY	21027	State Senate District 27	110935	49185	3724693136	43727888	    1438.112	      16.883	 38.199714	 -83.147052                                                                                     
KY	21028	State Senate District 28	119669	53206	3936458594	42552259	    1519.875	      16.430	 38.198381	 -84.086498                                                                                     
KY	21029	State Senate District 29	94194	43468	4079722883	19858556	    1575.190	       7.667	 37.411125	 -83.008152                                                                                      
KY	21030	State Senate District 30	97991	44736	4054216572	28441949	    1565.342	      10.981	 36.976198	 -83.382468                                                                                      
KY	21031	State Senate District 31	101309	46092	3311016997	12982393	    1278.391	       5.013	 37.617173	 -82.508143                                                                                     
KY	21032	State Senate District 32	126482	53100	2506300296	29395349	     967.688	      11.350	 37.087284	 -86.536360                                                                                     
KY	21033	State Senate District 33	98815	48460	69716784	13604667	      26.918	       5.253	 38.237313	 -85.799031                                                                                        
KY	21034	State Senate District 34	124714	53565	2817731149	25891812	    1087.932	       9.997	 37.725703	 -84.269925                                                                                     
KY	21035	State Senate District 35	106187	51827	86163804	373185	      33.268	       0.144	 38.175084	 -85.661714                                                                                         
KY	21036	State Senate District 36	125909	56791	265332348	5420738	     102.445	       2.093	 38.231790	 -85.509809                                                                                       
KY	21037	State Senate District 37	114317	50164	114316382	6249203	      44.138	       2.413	 38.151014	 -85.806097                                                                                       
KY	21038	State Senate District 38	131921	53716	269084539	3585597	     103.894	       1.384	 38.116363	 -85.651591                                                                                       
