id,name,census-geoid,validFrom,validThrough
ocd-division/country:us/state:ct/sldu:14,Connecticut State Senate district 14,sldu-09014,,
ocd-division/country:us/state:ct/sldu:15,Connecticut State Senate district 15,sldu-09015,,
ocd-division/country:us/state:ct/sldu:16,Connecticut State Senate district 16,sldu-09016,,
ocd-division/country:us/state:ct/sldu:17,Connecticut State Senate district 17,sldu-09017,,
ocd-division/country:us/state:ct/sldu:18,Connecticut State Senate district 18,sldu-09018,,
ocd-division/country:us/state:ct/sldu:19,Connecticut State Senate district 19,sldu-09019,,
ocd-division/country:us/state:ct/sldu:20,Connecticut State Senate district 20,sldu-09020,,
ocd-division/country:us/state:ct/sldu:21,Connecticut State Senate district 21,sldu-09021,,
ocd-division/country:us/state:ct/sldu:22,Connecticut State Senate district 22,sldu-09022,,
ocd-division/country:us/state:ct/sldu:23,Connecticut State Senate district 23,sldu-09023,,
ocd-division/country:us/state:ct/sldu:24,Connecticut State Senate district 24,sldu-09024,,
ocd-division/country:us/state:ct/sldu:25,Connecticut State Senate district 25,sldu-09025,,
ocd-division/country:us/state:ct/sldu:26,Connecticut State Senate district 26,sldu-09026,,
ocd-division/country:us/state:ct/sldu:27,Connecticut State Senate district 27,sldu-09027,,
ocd-division/country:us/state:ct/sldu:28,Connecticut State Senate district 28,sldu-09028,,
ocd-division/country:us/state:ct/sldu:29,Connecticut State Senate district 29,sldu-09029,,
ocd-division/country:us/state:ct/sldu:30,Connecticut State Senate district 30,sldu-09030,,
ocd-division/country:us/state:ct/sldu:31,Connecticut State Senate district 31,sldu-09031,,
ocd-division/country:us/state:ct/sldu:32,Connecticut State Senate district 32,sldu-09032,,
ocd-division/country:us/state:ct/sldu:33,Connecticut State Senate district 33,sldu-09033,,
ocd-division/country:us/state:ct/sldu:34,Connecticut State Senate district 34,sldu-09034,,
ocd-division/country:us/state:ct/sldu:35,Connecticut State Senate district 35,sldu-09035,,
ocd-division/country:us/state:ct/sldu:36,Connecticut State Senate district 36,sldu-09036,,
ocd-division/country:us/state:de/sldu:1,Delaware State Senate district 1,sldu-10001,,
ocd-division/country:us/state:de/sldu:2,Delaware State Senate district 2,sldu-10002,,
ocd-division/country:us/state:de/sldu:3,Delaware State Senate district 3,sldu-10003,,
ocd-division/country:us/state:de/sldu:4,Delaware State Senate district 4,sldu-10004,,
ocd-division/country:us/state:de/sldu:5,Delaware State Senate district 5,sldu-10005,,
ocd-division/country:us/state:de/sldu:6,Delaware State Senate district 6,sldu-10006,,
ocd-division/country:us/state:de/sldu:7,Delaware State Senate district 7,sldu-10007,,
ocd-division/country:us/state:de/sldu:8,Delaware State Senate district 8,sldu-10008,,
ocd-division/country:us/state:de/sldu:9,Delaware State Senate district 9,sldu-10009,,
ocd-division/country:us/state:de/sldu:10,Delaware State Senate district 10,sldu-10010,,
ocd-division/country:us/state:de/sldu:11,Delaware State Senate district 11,sldu-10011,,
ocd-division/country:us/state:de/sldu:12,Delaware State Senate district 12,sldu-10012,,
ocd-division/country:us/state:de/sldu:13,Delaware State Senate district 13,sldu-10013,,
ocd-division/country:us/state:de/sldu:14,Delaware State Senate district 14,sldu-10014,,
ocd-division/country:us/state:de/sldu:15,Delaware State Senate district 15,sldu-10015,,
ocd-division/country:us/state:de/sldu:16,Delaware State Senate district 16,sldu-10016,,
ocd-division/country:us/state:de/sldu:17,Delaware State Senate district 17,sldu-10017,,
ocd-division/country:us/state:de/sldu:18,Delaware State Senate district 18,sldu-10018,,
ocd-division/country:us/state:de/sldu:19,Delaware State Senate district 19,sldu-10019,,
ocd-division/country:us/state:de/sldu:20,Delaware State Senate district 20,sldu-10020,,
ocd-division/country:us/state:de/sldu:21,Delaware State Senate district 21,sldu-10021,,
ocd-division/country:us/district:dc/ward:1,District of Columbia Ward 1,sldu-11001,,
ocd-division/country:us/district:dc/ward:2,District of Columbia Ward 2,sldu-11002,,
ocd-division/country:us/district:dc/ward:3,District of Columbia Ward 3,sldu-11003,,
ocd-division/country:us/district:dc/ward:4,District of Columbia Ward 4,sldu-11004,,
ocd-division/country:us/district:dc/ward:5,District of Columbia Ward 5,sldu-11005,,
ocd-division/country:us/district:dc/ward:6,District of Columbia Ward 6,sldu-11006,,
ocd-division/country:us/district:dc/ward:7,District of Columbia Ward 7,sldu-11007,,
ocd-division/country:us/district:dc/ward:8,District of Columbia Ward 8,sldu-11008,,
ocd-division/country:us/state:fl/sldu:1,Florida State Senate district 1,sldu-12001,,
ocd-division/country:us/state:fl/sldu:2,Florida State Senate district 2,sldu-12002,,
ocd-division/country:us/state:fl/sldu:3,Florida State Senate district 3,sldu-12003,,
ocd-division/country:us/state:fl/sldu:4,Florida State Senate district 4,sldu-12004,,
ocd-division/country:us/state:fl/sldu:5,Florida State Senate district 5,sldu-12005,,
ocd-division/country:us/state:fl/sldu:6,Florida State Senate district 6,sldu-12006,,
ocd-division/country:us/state:fl/sldu:7,Florida State Senate district 7,sldu-12007,,
ocd-division/country:us/state:fl/sldu:8,Florida State Senate district 8,sldu-12008,,
ocd-division/country:us/state:fl/sldu:9,Florida State Senate district 9,sldu-12009,,
ocd-division/country:us/state:fl/sldu:10,Florida State Senate district 10,sldu-12010,,
ocd-division/country:us/state:fl/sldu:11,Florida State Senate district 11,sldu-12011,,
ocd-division/country:us/state:fl/sldu:12,Florida State Senate district 12,sldu-12012,,
ocd-division/country:us/state:fl/sldu:13,Florida State Senate district 13,sldu-12013,,
ocd-division/country:us/state:fl/sldu:14,Florida State Senate district 14,sldu-12014,,
ocd-division/country:us/state:fl/sldu:15,Florida State Senate district 15,sldu-12015,,
ocd-division/country:us/state:fl/sldu:16,Florida State Senate district 16,sldu-12016,,
ocd-division/country:us/state:fl/sldu:17,Florida State Senate district 17,sldu-12017,,
ocd-division/country:us/state:fl/sldu:18,Florida State Senate district 18,sldu-12018,,
ocd-division/country:us/state:fl/sldu:19,Florida State Senate district 19,sldu-12019,,
ocd-division/country:us/state:fl/sldu:20,Florida State Senate district 20,sldu-12020,,
ocd-division/country:us/state:fl/sldu:21,Florida State Senate district 21,sldu-12021,,
ocd-division/country:us/state:fl/sldu:22,Florida State Senate district 22,sldu-12022,,
ocd-division/country:us/state:fl/sldu:23,Florida State Senate district 23,sldu-12023,,
ocd-division/country:us/state:fl/sldu:24,Florida State Senate district 24,sldu-12024,,
ocd-division/country:us/state:fl/sldu:25,Florida State Senate district 25,sldu-12025,,
ocd-division/country:us/state:fl/sldu:26,Florida State Senate district 26,sldu-12026,,
ocd-division/country:us/state:fl/sldu:27,Florida State Senate district 27,sldu-12027,,
ocd-division/country:us/state:fl/sldu:28,Florida State Senate district 28,sldu-12028,,
ocd-division/country:us/state:fl/sldu:29,Florida State Senate district 29,sldu-12029,,
ocd-division/country:us/state:fl/sldu:30,Florida State Senate district 30,sldu-12030,,
ocd-division/country:us/state:fl/sldu:31,Florida State Senate district 31,sldu-12031,,
ocd-division/country:us/state:fl/sldu:32,Florida State Senate district 32,sldu-12032,,
ocd-division/country:us/state:fl/sldu:33,Florida State Senate district 33,sldu-12033,,
ocd-division/country:us/state:fl/sldu:34,Florida State Senate district 34,sldu-12034,,
ocd-division/country:us/state:fl/sldu:35,Florida State Senate district 35,sldu-12035,,
ocd-division/country:us/state:fl/sldu:36,Florida State Senate district 36,sldu-12036,,
ocd-division/country:us/state:fl/sldu:37,Florida State Senate district 37,sldu-12037,,
ocd-division/country:us/state:fl/sldu:38,Florida State Senate district 38,sldu-12038,,
ocd-division/country:us/state:fl/sldu:39,Florida State Senate district 39,sldu-12039,,
ocd-division/country:us/state:fl/sldu:40,Florida State Senate district 40,sldu-12040,,
ocd-division/country:us/state:ga/sldu:1,Georgia State Senate district 1,sldu-13001,,
ocd-division/country:us/state:ga/sldu:2,Georgia State Senate district 2,sldu-13002,,
ocd-division/country:us/state:ga/sldu:3,Georgia State Senate district 3,sldu-13003,,
ocd-division/country:us/state:ga/sldu:4,Georgia State Senate district 4,sldu-13004,,
ocd-division/country:us/state:ga/sldu:5,Georgia State Senate district 5,sldu-13005,,
ocd-division/country:us/state:ga/sldu:6,Georgia State Senate district 6,sldu-13006,,
ocd-division/country:us/state:ga/sldu:7,Georgia State Senate district 7,sldu-13007,,
ocd-division/country:us/state:ga/sldu:8,Georgia State Senate district 8,sldu-13008,,
ocd-division/country:us/state:ga/sldu:9,Georgia State Senate district 9,sldu-13009,,
ocd-division/country:us/state:ga/sldu:10,Georgia State Senate district 10,sldu-13010,,
ocd-division/country:us/state:ga/sldu:11,Georgia State Senate district 11,sldu-13011,,
ocd-division/country:us/state:ga/sldu:12,Georgia State Senate district 12,sldu-13012,,
ocd-division/country:us/state:ga/sldu:13,Georgia State Senate district 13,sldu-13013,,
ocd-division/country:us/state:ga/sldu:14,Georgia State Senate district 14,sldu-13014,,
ocd-division/country:us/state:ga/sldu:15,Georgia State Senate district 15,sldu-13015,,
ocd-division/country:us/state:ga/sldu:16,Georgia State Senate district 16,sldu-13016,,
ocd-division/country:us/state:ga/sldu:17,Georgia State Senate district 17,sldu-13017,,
ocd-division/country:us/state:ga/sldu:18,Georgia State Senate district 18,sldu-13018,,
ocd-division/country:us/state:ga/sldu:19,Georgia State Senate district 19,sldu-13019,,
ocd-division/country:us/state:ga/sldu:20,Georgia State Senate district 20,sldu-13020,,
ocd-division/country:us/state:ga/sldu:21,Georgia State Senate district 21,sldu-13021,,
ocd-division/country:us/state:ga/sldu:22,Georgia State Senate district 22,sldu-13022,,
ocd-division/country:us/state:ga/sldu:23,Georgia State Senate district 23,sldu-13023,,
ocd-division/country:us/state:ga/sldu:24,Georgia State Senate district 24,sldu-13024,,
ocd-division/country:us/state:ga/sldu:25,Georgia State Senate district 25,sldu-13025,,
ocd-division/country:us/state:ga/sldu:26,Georgia State Senate district 26,sldu-13026,,
ocd-division/country:us/state:ga/sldu:27,Georgia State Senate district 27,sldu-13027,,
ocd-division/country:us/state:ga/sldu:28,Georgia State Senate district 28,sldu-13028,,
ocd-division/country:us/state:ga/sldu:29,Georgia State Senate district 29,sldu-13029,,
ocd-division/country:us/state:ga/sldu:30,Georgia State Senate district 30,sldu-13030,,
ocd-division/country:us/state:ga/sldu:31,Georgia State Senate district 31,sldu-13031,,
ocd-division/country:us/state:ga/sldu:32,Georgia State Senate district 32,sldu-13032,,
ocd-division/country:us/state:ga/sldu:33,Georgia State Senate district 33,sldu-13033,,
