id,name,census_geoid,validThrough
ocd-division/country:us/state:nv/cd:2,Nevada's 2nd congressional district,cd-3202,
ocd-division/country:us/state:nv/cd:3,Nevada's 3rd congressional district,cd-3203,
ocd-division/country:us/state:nv/cd:4,Nevada's 4th congressional district,cd-3204,
ocd-division/country:us/state:ny/cd:10,New York's 10th congressional district,cd-3610,
ocd-division/country:us/state:ny/cd:11,New York's 11th congressional district,cd-3611,
ocd-division/country:us/state:ny/cd:12,New York's 12th congressional district,cd-3612,
ocd-division/country:us/state:ny/cd:13,New York's 13th congressional district,cd-3613,
ocd-division/country:us/state:ny/cd:14,New York's 14th congressional district,cd-3614,
ocd-division/country:us/state:ny/cd:15,New York's 15th congressional district,cd-3615,
ocd-division/country:us/state:ny/cd:16,New York's 16th congressional district,cd-3616,
ocd-division/country:us/state:ny/cd:17,New York's 17th congressional district,cd-3617,
ocd-division/country:us/state:ny/cd:18,New York's 18th congressional district,cd-3618,
ocd-division/country:us/state:ny/cd:19,New York's 19th congressional district,cd-3619,
ocd-division/country:us/state:ny/cd:1,New York's 1st congressional district,cd-3601,
ocd-division/country:us/state:ny/cd:20,New York's 20th congressional district,cd-3620,
ocd-division/country:us/state:ny/cd:21,New York's 21st congressional district,cd-3621,
ocd-division/country:us/state:ny/cd:22,New York's 22nd congressional district,cd-3622,
ocd-division/country:us/state:ny/cd:23,New York's 23rd congressional district,cd-3623,
ocd-division/country:us/state:ny/cd:24,New York's 24th congressional district,cd-3624,
ocd-division/country:us/state:ny/cd:25,New York's 25th congressional district,cd-3625,
ocd-division/country:us/state:ny/cd:26,New York's 26th congressional district,cd-3626,
ocd-division/country:us/state:ny/cd:27,New York's 27th congressional district,cd-3627,
ocd-division/country:us/state:ny/cd:2,New York's 2nd congressional district,cd-3602,
ocd-division/country:us/state:ny/cd:3,New York's 3rd congressional district,cd-3603,
ocd-division/country:us/state:ny/cd:4,New York's 4th congressional district,cd-3604,
ocd-division/country:us/state:ny/cd:5,New York's 5th congressional district,cd-3605,
ocd-division/country:us/state:ny/cd:6,New York's 6th congressional district,cd-3606,
ocd-division/country:us/state:ny/cd:7,New York's 7th congressional district,cd-3607,
ocd-division/country:us/state:ny/cd:8,New York's 8th congressional district,cd-3608,
ocd-division/country:us/state:ny/cd:9,New York's 9th congressional district,cd-3609,
ocd-division/country:us/state:oh/cd:10,Ohio's 10th congressional district,cd-3910,
ocd-division/country:us/state:oh/cd:11,Ohio's 11th congressional district,cd-3911,
