id,name,sameAs,sameAsNote,validFrom,validThrough
ocd-division/country:my/state:05/ed:p130,Rasah,ocd-division/country:my/state:05/ed:rasah,Added for backwards compatability,,
ocd-division/country:my/state:05/ed:p131,Rembau,ocd-division/country:my/state:05/ed:rembau,Added for backwards compatability,,
ocd-division/country:my/state:05/ed:p132,Telok Kemang,ocd-division/country:my/state:05/ed:telok_kemang,Added for backwards compatability,,
ocd-division/country:my/state:05/ed:p133,Tampin,ocd-division/country:my/state:05/ed:tampin,Added for backwards compatability,,
ocd-division/country:my/state:05/ed:port_dickson,Port Dickson,,,,
ocd-division/country:my/state:05/ed:rasah,Rasah,,,,
ocd-division/country:my/state:05/ed:rembau,Rembau,,,,
ocd-division/country:my/state:05/ed:seremban,Seremban,,,,
ocd-division/country:my/state:05/ed:tampin,Tampin,,,,
ocd-division/country:my/state:05/ed:telok_kemang,Telok Kemang,,,,2018
ocd-division/country:my/state:06,Pahang,,,,
ocd-division/country:my/state:06/ed:bentong,Bentong,,,,
ocd-division/country:my/state:06/ed:bera,Bera,,,,
ocd-division/country:my/state:06/ed:cameron_highlands,Cameron Highlands,,,,
ocd-division/country:my/state:06/ed:indera_mahkota,Indera Mahkota,,,,
ocd-division/country:my/state:06/ed:jerantut,Jerantut,,,,
ocd-division/country:my/state:06/ed:kuala_krau,Kuala Krau,,,,
ocd-division/country:my/state:06/ed:kuantan,Kuantan,,,,
ocd-division/country:my/state:06/ed:lipis,Lipis,,,,
ocd-division/country:my/state:06/ed:maran,Maran,,,,
ocd-division/country:my/state:06/ed:p078,Cameron Highlands,ocd-division/country:my/state:06/ed:cameron_highlands,Added for backwards compatability,,
ocd-division/country:my/state:06/ed:p079,Lipis,ocd-division/country:my/state:06/ed:lipis,Added for backwards compatability,,
ocd-division/country:my/state:06/ed:p080,Raub,ocd-division/country:my/state:06/ed:raub,Added for backwards compatability,,
ocd-division/country:my/state:06/ed:p081,Jerantut,ocd-division/country:my/state:06/ed:jerantut,Added for backwards compatability,,
ocd-division/country:my/state:06/ed:p082,Indera Mahkota,ocd-division/country:my/state:06/ed:indera_mahkota,Added for backwards compatability,,
ocd-division/country:my/state:06/ed:p083,Kuantan,ocd-division/country:my/state:06/ed:kuantan,Added for backwards compatability,,
ocd-division/country:my/state:06/ed:p084,Paya Besar,ocd-division/country:my/state:06/ed:paya_besar,Added for backwards compatability,,
ocd-division/country:my/state:06/ed:p085,Pekan,ocd-division/country:my/state:06/ed:pekan,Added for backwards compatability,,
ocd-division/country:my/state:06/ed:p086,Maran,ocd-division/country:my/state:06/ed:maran,Added for backwards compatability,,
ocd-division/country:my/state:06/ed:p087,Kuala Krau,ocd-division/country:my/state:06/ed:kuala_krau,Added for backwards compatability,,
ocd-division/country:my/state:06/ed:p088,Temerloh,ocd-division/country:my/state:06/ed:temerloh,Added for backwards compatability,,
ocd-division/country:my/state:06/ed:p089,Bentong,ocd-division/country:my/state:06/ed:bentong,Added for backwards compatability,,
ocd-division/country:my/state:06/ed:p090,Bera,ocd-division/country:my/state:06/ed:bera,Added for backwards compatability,,
ocd-division/country:my/state:06/ed:p091,Rompin,ocd-division/country:my/state:06/ed:rompin,Added for backwards compatability,,
ocd-division/country:my/state:06/ed:paya_besar,Paya Besar,,,,
ocd-division/country:my/state:06/ed:pekan,Pekan,,,,
ocd-division/country:my/state:06/ed:raub,Raub,,,,
ocd-division/country:my/state:06/ed:rompin,Rompin,,,,
ocd-division/country:my/state:06/ed:temerloh,Temerloh,,,,
ocd-division/country:my/state:07,Pulau Pinang,,,,
ocd-division/country:my/state:07/ed:bagan,Bagan,,,,
ocd-division/country:my/state:07/ed:balik_pulau,Balik Pulau,,,,
ocd-division/country:my/state:07/ed:batu_kawan,Batu Kawan,,,,
ocd-division/country:my/state:07/ed:bayan_baru,Bayan Baru,,,,
ocd-division/country:my/state:07/ed:bukit_bendera,Bukit Bendera,,,,
ocd-division/country:my/state:07/ed:bukit_gelugor,Bukit Gelugor,,,,
ocd-division/country:my/state:07/ed:bukit_mertajam,Bukit Mertajam,,,,
ocd-division/country:my/state:07/ed:jelutong,Jelutong,,,,
ocd-division/country:my/state:07/ed:kepala_batas,Kepala Batas,,,,
ocd-division/country:my/state:07/ed:nibong_tebal,Nibong Tebal,,,,
ocd-division/country:my/state:07/ed:p041,Kepala Batas,ocd-division/country:my/state:07/ed:kepala_batas,Added for backwards compatability,,
ocd-division/country:my/state:07/ed:p042,Tasek Gelugor,ocd-division/country:my/state:07/ed:tasek_gelugor,Added for backwards compatability,,
ocd-division/country:my/state:07/ed:p043,Bagan,ocd-division/country:my/state:07/ed:bagan,Added for backwards compatability,,
ocd-division/country:my/state:07/ed:p044,Permatang Pauh,ocd-division/country:my/state:07/ed:permatang_pauh,Added for backwards compatability,,
ocd-division/country:my/state:07/ed:p045,Bukit Mertajam,ocd-division/country:my/state:07/ed:bukit_mertajam,Added for backwards compatability,,
ocd-division/country:my/state:07/ed:p046,Batu Kawan,ocd-division/country:my/state:07/ed:batu_kawan,Added for backwards compatability,,
ocd-division/country:my/state:07/ed:p047,Nibong Tebal,ocd-division/country:my/state:07/ed:nibong_tebal,Added for backwards compatability,,
ocd-division/country:my/state:07/ed:p048,Bukit Bendera,ocd-division/country:my/state:07/ed:bukit_bendera,Added for backwards compatability,,
ocd-division/country:my/state:07/ed:p049,Tanjong,ocd-division/country:my/state:07/ed:tanjong,Added for backwards compatability,,
ocd-division/country:my/state:07/ed:p050,Jelutong,ocd-division/country:my/state:07/ed:jelutong,Added for backwards compatability,,
ocd-division/country:my/state:07/ed:p051,Bukit Gelugor,ocd-division/country:my/state:07/ed:bukit_gelugor,Added for backwards compatability,,
ocd-division/country:my/state:07/ed:p052,Bayan Baru,ocd-division/country:my/state:07/ed:bayan_baru,Added for backwards compatability,,
ocd-division/country:my/state:07/ed:p053,Balik Pulau,ocd-division/country:my/state:07/ed:balik_pulau,Added for backwards compatability,,
ocd-division/country:my/state:07/ed:permatang_pauh,Permatang Pauh,,,,
ocd-division/country:my/state:07/ed:tanjong,Tanjong,,,,
ocd-division/country:my/state:07/ed:tasek_gelugor,Tasek Gelugor,,,,
ocd-division/country:my/state:08,Perak,,,,
ocd-division/country:my/state:08/ed:bagan_datok,Bagan Datok,,,,
ocd-division/country:my/state:08/ed:bagan_serai,Bagan Serai,,,,
ocd-division/country:my/state:08/ed:batu_gajah,Batu Gajah,,,,
ocd-division/country:my/state:08/ed:beruas,Beruas,,,,
ocd-division/country:my/state:08/ed:bukit_gantang,Bukit Gantang,,,,
ocd-division/country:my/state:08/ed:gerik,Gerik,,,,
ocd-division/country:my/state:08/ed:gopeng,Gopeng,,,,
ocd-division/country:my/state:08/ed:ipoh_barat,Ipoh Barat,,,,
ocd-division/country:my/state:08/ed:ipoh_timor,Ipoh Timor,,,,
ocd-division/country:my/state:08/ed:kampar,Kampar,,,,
ocd-division/country:my/state:08/ed:kuala_kangsar,Kuala Kangsar,,,,
ocd-division/country:my/state:08/ed:larut,Larut,,,,
ocd-division/country:my/state:08/ed:lenggong,Lenggong,,,,
ocd-division/country:my/state:08/ed:lumut,Lumut,,,,
ocd-division/country:my/state:08/ed:p054,Gerik,ocd-division/country:my/state:08/ed:gerik,Added for backwards compatability,,
ocd-division/country:my/state:08/ed:p055,Lenggong,ocd-division/country:my/state:08/ed:lenggong,Added for backwards compatability,,
ocd-division/country:my/state:08/ed:p056,Larut,ocd-division/country:my/state:08/ed:larut,Added for backwards compatability,,
ocd-division/country:my/state:08/ed:p057,Parit Buntar,ocd-division/country:my/state:08/ed:parit_buntar,Added for backwards compatability,,
