id,name,validThrough,validFrom
ocd-division/country:kr/ed:gwangju_buk_district_1,Buk District First (Gwangju),,
ocd-division/country:kr/ed:gwangju_buk_district_2,Buk District Second (Gwangju),,
ocd-division/country:kr/ed:gwangju_city_1,Gwangju City First (Gyeonggi),,
ocd-division/country:kr/ed:gwangju_city_2,Gwangju City Second (Gyeonggi),,
ocd-division/country:kr/ed:gwangju_dong_district_and_nam_district_1,Dong District and Nam District First (Gwangju),,
ocd-division/country:kr/ed:gwangju_dong_district_and_nam_district_2,Dong District and Nam District Second (Gwangju),,
ocd-division/country:kr/ed:gwangju_seo_district_1,Seo District First (Gwangju),,
ocd-division/country:kr/ed:gwangju_seo_district_2,Seo District Second (Gwangju),,
ocd-division/country:kr/ed:gwangmyeong_city_1,Gwangmyeong City First,,
ocd-division/country:kr/ed:gwangmyeong_city_2,Gwangmyeong City Second,,
ocd-division/country:kr/ed:gwangsan_district_1,Gwangsan District First,,
ocd-division/country:kr/ed:gwangsan_district_2,Gwangsan District Second,,
ocd-division/country:kr/ed:gyeongju_city,Gyeongju City,,
ocd-division/country:kr/ed:gyeongsan_city,Gyeongsan City,,
ocd-division/country:kr/ed:gyeyang_district_1,Gyeyang District First,,
ocd-division/country:kr/ed:gyeyang_district_2,Gyeyang District Second,,
ocd-division/country:kr/ed:haenam_county-wando_islands_and_jindo_islands,"Haenam County, Wando Islands and Jindo Islands",,
ocd-division/country:kr/ed:haeundae_district_1,Haeundae District First,,
ocd-division/country:kr/ed:haeundae_district_2,Haeundae District Second,,
ocd-division/country:kr/ed:hanam_city,Hanam City,2024-05-29,
ocd-division/country:kr/ed:hanam_city_district_1,Hanam City First,,2024-05-30
ocd-division/country:kr/ed:hanam_city_district_2,Hanam City Second,,2024-05-30
ocd-division/country:kr/ed:hongcheon_county-hoengseong_county-yeongwol_county_and_pyeongchang_county,"Hongcheon County, Hoengseong County, Yeongwol County and Pyeongchang County",,
ocd-division/country:kr/ed:hongseong_county_and_yesan_county,Hongseong County and Yesan County,,
ocd-division/country:kr/ed:hwaseong_city_1,Hwaseong City First,,
ocd-division/country:kr/ed:hwaseong_city_2,Hwaseong City Second,,
ocd-division/country:kr/ed:hwaseong_city_3,Hwaseong City Third,,
ocd-division/country:kr/ed:hwaseong_city_4,Hwaseong City FOURTH,,2024-05-30
ocd-division/country:kr/ed:icheon_city,Icheon City,,
ocd-division/country:kr/ed:iksan_city_1,Iksan City First,,
ocd-division/country:kr/ed:iksan_city_2,Iksan City Second,,
ocd-division/country:kr/ed:incheon_dong_district_and_michuhol_district_1,Dong District and Michuhol District First (Incheon),,
ocd-division/country:kr/ed:incheon_dong_district_and_michuhol_district_2,Dong District and Michuhol District Second (Incheon),,
ocd-division/country:kr/ed:incheon_seo_district_1,Seo District First (Incheon),,
ocd-division/country:kr/ed:incheon_seo_district_2,Seo District Second (Incheon),,
ocd-division/country:kr/ed:jecheon_city_and_danyang_county,Jecheon City and Danyang County,,
ocd-division/country:kr/ed:jeju_city_1,Jeju City First,,
ocd-division/country:kr/ed:jeju_city_2,Jeju City Second,,
ocd-division/country:kr/ed:jeongeup_city_and_gochang_county,Jeongeup City and Gochang County,,
ocd-division/country:kr/ed:jeonju_city_1,Jeonju City First,,
ocd-division/country:kr/ed:jeonju_city_2,Jeonju City Second,,
ocd-division/country:kr/ed:jeonju_city_3,Jeonju City Third,,
ocd-division/country:kr/ed:jeungpyeong_county-jincheon_county_and_eumseong_county,"Jeungpyeong County, Jincheon County and Eumseong County",,
ocd-division/country:kr/ed:jinju_city_1,Jinju City First,,
ocd-division/country:kr/ed:jinju_city_2,Jinju City Second,,
ocd-division/country:kr/ed:jongno,Jongno,,
ocd-division/country:kr/ed:jung_and_seongdong_1,Jung and Seongdong First,,
ocd-division/country:kr/ed:jung_and_seongdong_2,Jung and Seongdong Second,,
ocd-division/country:kr/ed:jung_district-ganghwa_district_and_ongjin_county,"Jung District, Ganghwa District and Ongjin County",,
ocd-division/country:kr/ed:jung_district_and_nam_district,Jung District and Nam District,,
ocd-division/country:kr/ed:jungnang_1,Jungnang First,,
ocd-division/country:kr/ed:jungnang_2,Jungnang Second,,
ocd-division/country:kr/ed:mapo_1,Mapo First,,
ocd-division/country:kr/ed:mapo_2,Mapo Second,,
ocd-division/country:kr/ed:milyang_city-uiryeong_county-haman_county_and_changnyeong_county,"Milyang City, Uiryeong County, Haman County and Changnyeong County",,
ocd-division/country:kr/ed:mokpo_city,Mokpo City,,
ocd-division/country:kr/ed:naju_city_and_hwasun_county,Naju City and Hwasun County,,
ocd-division/country:kr/ed:namb_district,Nam District First Busan,,2024-05-30
ocd-division/country:kr/ed:namdong_district_1,Namdong District First,,
ocd-division/country:kr/ed:namdong_district_2,Namdong District Second,,
ocd-division/country:kr/ed:namwon_city-imsil_county_and_sunchang_county,"Namwon City, Imsil County and Sunchang County",2024-05-29,
ocd-division/country:kr/ed:namwon_city-jangsu_county-imsil_county-sunchang_county,"Namwon City, Jangsu County, Imsil County and Sunchang County",,2024-05-30
ocd-division/country:kr/ed:namyangju_city_1,Namyangju City First,,
ocd-division/country:kr/ed:namyangju_city_2,Namyangju City Second,,
ocd-division/country:kr/ed:namyangju_city_3,Namyangju City Third,,
ocd-division/country:kr/ed:nonsan_city-gyeryong_city_and_guemsan_county,"Nonsan City, Gyeryong City and Guemsan County",,
ocd-division/country:kr/ed:nowon_1,Nowon First,,
ocd-division/country:kr/ed:nowon_2,Nowon Second,,
ocd-division/country:kr/ed:nowon_3,Nowon Third,2024-05-29,
ocd-division/country:kr/ed:osan_city,Osan City,,
ocd-division/country:kr/ed:paju_city_1,Paju City First,,
ocd-division/country:kr/ed:paju_city_2,Paju City Second,,
ocd-division/country:kr/ed:pocheon_city_and_gapyeong_county,Pocheon City and Gapyeong County,,
