ocd-division/country:us/state:al/place:hytop,Hytop town
ocd-division/country:us/state:al/place:ider,Ider town
ocd-division/country:us/state:al/place:indian_springs_village,Indian Springs Village city
ocd-division/country:us/state:al/place:irondale,Irondale city
ocd-division/country:us/state:al/place:jackson,Jackson city
ocd-division/country:us/state:al/place:jacksons~_gap,Jacksons' Gap town
ocd-division/country:us/state:al/place:jacksonville,Jacksonville city
ocd-division/country:us/state:al/place:jasper,Jasper city
ocd-division/country:us/state:al/place:jemison,Jemison city
ocd-division/country:us/state:al/place:kansas,Kansas town
ocd-division/country:us/state:al/place:kellyton,Kellyton town
ocd-division/country:us/state:al/place:kennedy,Kennedy town
ocd-division/country:us/state:al/place:killen,Killen town
ocd-division/country:us/state:al/place:kimberly,Kimberly town
ocd-division/country:us/state:al/place:kinsey,Kinsey town
ocd-division/country:us/state:al/place:kinston,Kinston town
ocd-division/country:us/state:al/place:la_fayette,La Fayette city
ocd-division/country:us/state:al/place:lake_view,Lake View town
ocd-division/country:us/state:al/place:lakeview,Lakeview town
ocd-division/country:us/state:al/place:lanett,Lanett city
ocd-division/country:us/state:al/place:langston,Langston town
ocd-division/country:us/state:al/place:leeds,Leeds city
ocd-division/country:us/state:al/place:leesburg,Leesburg town
ocd-division/country:us/state:al/place:leighton,Leighton town
ocd-division/country:us/state:al/place:lester,Lester town
ocd-division/country:us/state:al/place:level_plains,Level Plains town
ocd-division/country:us/state:al/place:lexington,Lexington town
ocd-division/country:us/state:al/place:libertyville,Libertyville town
ocd-division/country:us/state:al/place:lincoln,Lincoln city
ocd-division/country:us/state:al/place:linden,Linden city
ocd-division/country:us/state:al/place:lineville,Lineville city
ocd-division/country:us/state:al/place:lipscomb,Lipscomb city
ocd-division/country:us/state:al/place:lisman,Lisman town
ocd-division/country:us/state:al/place:littleville,Littleville town
