id,state_id
ocd-division/country:us/state:mn/place:frazee,100
ocd-division/country:us/state:mn/county:becker/place:green_valley,105
ocd-division/country:us/state:mn/county:becker/place:hamden,110
ocd-division/country:us/state:mn/county:becker/place:height_of_land,115
ocd-division/country:us/state:mn/county:becker/place:holmesville,120
ocd-division/country:us/state:mn/county:becker/place:lake_eunice,125
ocd-division/country:us/state:mn/place:lake_park,130
ocd-division/country:us/state:mn/county:becker/place:lake_park,135
ocd-division/country:us/state:mn/county:becker/place:lake_view,140
ocd-division/country:us/state:mn/county:becker/place:maple_grove,145
ocd-division/country:us/state:mn/place:ogema,150
ocd-division/country:us/state:mn/county:becker/place:osage,155
ocd-division/country:us/state:mn/county:becker/place:pine_point,160
ocd-division/country:us/state:mn/county:becker/place:riceville,165
ocd-division/country:us/state:mn/county:becker/place:richwood,170
ocd-division/country:us/state:mn/county:becker/place:round_lake,175
ocd-division/country:us/state:mn/county:becker/place:runeberg,180
ocd-division/country:us/state:mn/county:becker/place:savannah,185
ocd-division/country:us/state:mn/county:becker/place:shell_lake,190
ocd-division/country:us/state:mn/county:becker/place:silver_leaf,195
ocd-division/country:us/state:mn/county:becker/place:spring_creek,200
ocd-division/country:us/state:mn/county:becker/place:spruce_grove,205
ocd-division/country:us/state:mn/county:becker/place:sugar_bush,210
ocd-division/country:us/state:mn/county:becker/place:toad_lake,215
ocd-division/country:us/state:mn/county:becker/place:two_inlets,220
ocd-division/country:us/state:mn/county:becker/place:walworth,225
ocd-division/country:us/state:mn/county:becker/place:white_earth,230
ocd-division/country:us/state:mn/place:wolf_lake,235
ocd-division/country:us/state:mn/county:becker/place:wolf_lake,240
ocd-division/country:us/state:mn/county:beltrami/place:alaska,5
ocd-division/country:us/state:mn/county:beltrami/place:battle,10
ocd-division/country:us/state:mn/county:beltrami/place:bemidji,15
ocd-division/country:us/state:mn/place:bemidji/ward:1,20
ocd-division/country:us/state:mn/place:bemidji/ward:2,25
ocd-division/country:us/state:mn/place:bemidji/ward:3,30
ocd-division/country:us/state:mn/place:bemidji/ward:4,35
ocd-division/country:us/state:mn/place:bemidji/ward:5,40
ocd-division/country:us/state:mn/county:beltrami/place:benville,45
ocd-division/country:us/state:mn/county:beltrami/place:birch,50
ocd-division/country:us/state:mn/place:blackduck,55
ocd-division/country:us/state:mn/county:beltrami/place:buzzle,60
ocd-division/country:us/state:mn/county:beltrami/place:cormant,65
ocd-division/country:us/state:mn/county:beltrami/place:durand,70
ocd-division/country:us/state:mn/county:beltrami/place:eckles,75
ocd-division/country:us/state:mn/county:beltrami/place:frohn,80
ocd-division/country:us/state:mn/place:funkley,85
ocd-division/country:us/state:mn/county:beltrami/place:grant_valley,90
ocd-division/country:us/state:mn/county:beltrami/place:hagali,95
ocd-division/country:us/state:mn/county:beltrami/place:hamre,100
ocd-division/country:us/state:mn/county:beltrami/place:hines,105
ocd-division/country:us/state:mn/county:beltrami/place:hornet,110
ocd-division/country:us/state:mn/county:beltrami/place:jones,115
ocd-division/country:us/state:mn/place:kelliher,120
ocd-division/country:us/state:mn/county:beltrami/place:kelliher,125
ocd-division/country:us/state:mn/county:beltrami/place:lammers,130
