id,county_id
ocd-division/country:us/state:ky/county:bourbon/precinct:b102-millersburg_2,B102
ocd-division/country:us/state:ky/county:bourbon/precinct:b103-paris_4,B103
ocd-division/country:us/state:ky/county:bourbon/precinct:c101-flat_rock,C101
ocd-division/country:us/state:ky/county:bourbon/precinct:c102-paris_1,C102
ocd-division/country:us/state:ky/county:bourbon/precinct:c103-paris_2,C103
ocd-division/country:us/state:ky/county:bourbon/precinct:d101-north_middletown,D101
ocd-division/country:us/state:ky/county:bourbon/precinct:d103-paris_3,D103
ocd-division/country:us/state:ky/county:bourbon/precinct:e101-clintonville,E101
ocd-division/country:us/state:ky/county:bourbon/precinct:e103-paris_6,E103
ocd-division/country:us/state:ky/county:bourbon/precinct:e104-paris_8,E104
ocd-division/country:us/state:ky/county:bourbon/precinct:f101-hutchison_1,F101
ocd-division/country:us/state:ky/county:bourbon/precinct:f102-hutchison_2,F102
ocd-division/country:us/state:ky/county:bourbon/precinct:f103-hutchison_3,F103
ocd-division/country:us/state:ky/county:bourbon/precinct:g101-centerville,G101
ocd-division/country:us/state:ky/county:bourbon/precinct:g102-paris_5,G102
ocd-division/country:us/state:ky/county:bourbon/precinct:h101-ruddles_mills,H101
ocd-division/country:us/state:ky/county:bourbon/precinct:h102-paris_7,H102
ocd-division/country:us/state:ky/county:boyd/precinct:a101-catlettsburg,A101
ocd-division/country:us/state:ky/county:boyd/precinct:a107-england_hill,A107
ocd-division/country:us/state:ky/county:boyd/precinct:a108-durbin-ashland_oil,A108
ocd-division/country:us/state:ky/county:boyd/precinct:a109-east_fork,A109
ocd-division/country:us/state:ky/county:boyd/precinct:a110-elmwood-hill_top,A110
ocd-division/country:us/state:ky/county:boyd/precinct:a111-gartrell,A111
ocd-division/country:us/state:ky/county:boyd/precinct:a113-gartin,A113
ocd-division/country:us/state:ky/county:boyd/precinct:a114-carp,A114
ocd-division/country:us/state:ky/county:boyd/precinct:a115-south_ashland,A115
ocd-division/country:us/state:ky/county:boyd/precinct:a116-ratcliff,A116
ocd-division/country:us/state:ky/county:boyd/precinct:a118-fannin_1,A118
ocd-division/country:us/state:ky/county:boyd/precinct:a119-fannin_2,A119
ocd-division/country:us/state:ky/county:boyd/precinct:a120-pinewood,A120
ocd-division/country:us/state:ky/county:boyd/precinct:a121-cannonsburg,A121
ocd-division/country:us/state:ky/county:boyd/precinct:a122-marsh_run,A122
ocd-division/country:us/state:ky/county:boyd/precinct:b101-central,B101
ocd-division/country:us/state:ky/county:boyd/precinct:b102-pollard,B102
ocd-division/country:us/state:ky/county:boyd/precinct:b103-lewis,B103
ocd-division/country:us/state:ky/county:boyd/precinct:b105-debord-tannery,B105
ocd-division/country:us/state:ky/county:boyd/precinct:b106-barber,B106
ocd-division/country:us/state:ky/county:boyd/precinct:b107-vincent,B107
ocd-division/country:us/state:ky/county:boyd/precinct:b108-mt_adams,B108
ocd-division/country:us/state:ky/county:boyd/precinct:b109-prichard,B109
ocd-division/country:us/state:ky/county:boyd/precinct:b110-forest_hills,B110
ocd-division/country:us/state:ky/county:boyd/precinct:b112-bryson,B112
ocd-division/country:us/state:ky/county:boyd/precinct:b114-beech,B114
ocd-division/country:us/state:ky/county:boyd/precinct:b115-grayson-springhill,B115
ocd-division/country:us/state:ky/county:boyd/precinct:b116-avondale,B116
ocd-division/country:us/state:ky/county:boyd/precinct:b117-hillendale,B117
ocd-division/country:us/state:ky/county:boyd/precinct:b118-rice_1,B118
ocd-division/country:us/state:ky/county:boyd/precinct:b119-rice_2,B119
ocd-division/country:us/state:ky/county:boyd/precinct:b121-poage,B121
ocd-division/country:us/state:ky/county:boyd/precinct:c101-maple,C101
ocd-division/country:us/state:ky/county:boyd/precinct:c102-princess,C102
ocd-division/country:us/state:ky/county:boyd/precinct:c103-kyova,C103
ocd-division/country:us/state:ky/county:boyd/precinct:c104-hoods_creek,C104
ocd-division/country:us/state:ky/county:boyd/precinct:c105-fairview,C105
ocd-division/country:us/state:ky/county:boyd/precinct:c106-buckley,C106
ocd-division/country:us/state:ky/county:boyd/precinct:c107-westwood,C107
ocd-division/country:us/state:ky/county:boyd/precinct:c108-millseat,C108
ocd-division/country:us/state:ky/county:boyd/precinct:c109-moore,C109
ocd-division/country:us/state:ky/county:boyd/precinct:c110-pyramid,C110
ocd-division/country:us/state:ky/county:boyd/precinct:c111-willow,C111
ocd-division/country:us/state:ky/county:boyd/precinct:c113-green_hill,C113
ocd-division/country:us/state:ky/county:boyd/precinct:c114-meads_1,C114
ocd-division/country:us/state:ky/county:boyd/precinct:c115-rockdale-summitt,C115
ocd-division/country:us/state:ky/county:boyd/precinct:c116-winslow-ironville,C116
ocd-division/country:us/state:ky/county:boyd/precinct:c117-meads_2,C117
ocd-division/country:us/state:ky/county:boyle/precinct:a101-west_perryville,A101
ocd-division/country:us/state:ky/county:boyle/precinct:a102-east_perryville,A102
ocd-division/country:us/state:ky/county:boyle/precinct:a103-mitchellsburg,A103
ocd-division/country:us/state:ky/county:boyle/precinct:a104-parksville,A104
ocd-division/country:us/state:ky/county:boyle/precinct:a105-bluegrass,A105
ocd-division/country:us/state:ky/county:boyle/precinct:b101-east_parksville,B101
ocd-division/country:us/state:ky/county:boyle/precinct:b102-west_junction_city,B102
ocd-division/country:us/state:ky/county:boyle/precinct:b103-junction_city,B103
ocd-division/country:us/state:ky/county:boyle/precinct:b104-east_junction_city,B104
ocd-division/country:us/state:ky/county:boyle/precinct:c101-r_e_c_c,C101
ocd-division/country:us/state:ky/county:boyle/precinct:c102-nazarene_church,C102
ocd-division/country:us/state:ky/county:boyle/precinct:c103-perryville_road,C103
ocd-division/country:us/state:ky/county:boyle/precinct:c104-clarks_run,C104
ocd-division/country:us/state:ky/county:boyle/precinct:d101-indian_hills_christian,D101
ocd-division/country:us/state:ky/county:boyle/precinct:d102-lexington_rd,D102
ocd-division/country:us/state:ky/county:boyle/precinct:d103-lancaster_road,D103
ocd-division/country:us/state:ky/county:boyle/precinct:e101-danville_high_school,E101
ocd-division/country:us/state:ky/county:boyle/precinct:e102-ss_peter_and_paul_catholic_church,E102
ocd-division/country:us/state:ky/county:boyle/precinct:e103-court_house,E103
ocd-division/country:us/state:ky/county:boyle/precinct:e104-centre_college,E104
ocd-division/country:us/state:ky/county:boyle/precinct:f101-lexington_avenue_baptist,F101
ocd-division/country:us/state:ky/county:boyle/precinct:f102-streamland,F102
ocd-division/country:us/state:ky/county:boyle/precinct:f103-boyle_co_high_school,F103
ocd-division/country:us/state:ky/county:boyle/precinct:f104-millennium_park,F104
ocd-division/country:us/state:ky/county:boyle/precinct:f105-shakertown,F105
ocd-division/country:us/state:ky/county:bracken/precinct:a101-foster,A101
ocd-division/country:us/state:ky/county:bracken/precinct:b101-augusta_w,B101
ocd-division/country:us/state:ky/county:bracken/precinct:c101-augusta_e,C101
