id,sameAs,sameAsNote
ocd-division/country:pl/province:pk/cd:rzeszów,ocd-division/country:pl/state:pk/cd:rzeszów,The territory of Poland is divided into voivodeships (provinces)
ocd-division/country:pl/province:pm,ocd-division/country:pl/state:pm,The territory of Poland is divided into voivodeships (provinces)
ocd-division/country:pl/province:pm/cd:gdańsk,ocd-division/country:pl/state:pm/cd:gdańsk,The territory of Poland is divided into voivodeships (provinces)
ocd-division/country:pl/province:pm/cd:gdynia,ocd-division/country:pl/state:pm/cd:gdynia,The territory of Poland is divided into voivodeships (provinces)
ocd-division/country:pl/province:sk,ocd-division/country:pl/state:sk,The territory of Poland is divided into voivodeships (provinces)
ocd-division/country:pl/province:sk/cd:kielce,ocd-division/country:pl/state:sk/cd:kielce,The territory of Poland is divided into voivodeships (provinces)
ocd-division/country:pl/province:sl,ocd-division/country:pl/state:sl,The territory of Poland is divided into voivodeships (provinces)
ocd-division/country:pl/province:sl/cd:bielsko-biała,ocd-division/country:pl/state:sl/cd:bielsko-biała,The territory of Poland is divided into voivodeships (provinces)
ocd-division/country:pl/province:sl/cd:częstochowa,ocd-division/country:pl/state:sl/cd:częstochowa,The territory of Poland is divided into voivodeships (provinces)
ocd-division/country:pl/province:sl/cd:gliwice,ocd-division/country:pl/state:sl/cd:gliwice,The territory of Poland is divided into voivodeships (provinces)
ocd-division/country:pl/province:sl/cd:katowice,ocd-division/country:pl/state:sl/cd:katowice,The territory of Poland is divided into voivodeships (provinces)
ocd-division/country:pl/province:sl/cd:rybnik,ocd-division/country:pl/state:sl/cd:rybnik,The territory of Poland is divided into voivodeships (provinces)
ocd-division/country:pl/province:sl/cd:sosnowiec,ocd-division/country:pl/state:sl/cd:sosnowiec,The territory of Poland is divided into voivodeships (provinces)
ocd-division/country:pl/province:wn,ocd-division/country:pl/state:wn,The territory of Poland is divided into voivodeships (provinces)
ocd-division/country:pl/province:wn/cd:elbląg,ocd-division/country:pl/state:wn/cd:elbląg,The territory of Poland is divided into voivodeships (provinces)
ocd-division/country:pl/province:wn/cd:olsztyn,ocd-division/country:pl/state:wn/cd:olsztyn,The territory of Poland is divided into voivodeships (provinces)
ocd-division/country:pl/province:wp,ocd-division/country:pl/state:wp,The territory of Poland is divided into voivodeships (provinces)
ocd-division/country:pl/province:wp/cd:kalisz,ocd-division/country:pl/state:wp/cd:kalisz,The territory of Poland is divided into voivodeships (provinces)
ocd-division/country:pl/province:wp/cd:konin,ocd-division/country:pl/state:wp/cd:konin,The territory of Poland is divided into voivodeships (provinces)
ocd-division/country:pl/province:wp/cd:piła,ocd-division/country:pl/state:wp/cd:piła,The territory of Poland is divided into voivodeships (provinces)
ocd-division/country:pl/province:wp/cd:poznań,ocd-division/country:pl/state:wp/cd:poznań,The territory of Poland is divided into voivodeships (provinces)
ocd-division/country:pl/province:zp,ocd-division/country:pl/state:zp,The territory of Poland is divided into voivodeships (provinces)
ocd-division/country:pl/province:zp/cd:koszalin,ocd-division/country:pl/state:zp/cd:koszalin,The territory of Poland is divided into voivodeships (provinces)
ocd-division/country:pl/province:zp/cd:szczecin,ocd-division/country:pl/state:zp/cd:szczecin,The territory of Poland is divided into voivodeships (provinces)
