@id,sameAs,sameAsNote
ocd-division/country:us/state:ny/place:new_york/county:new_york,ocd-division/country:us/state:ny/county:new_york,New York City boroughs treated like any other county
ocd-division/country:us/state:ny/place:new_york/county:queens,ocd-division/country:us/state:ny/county:queens,New York City boroughs treated like any other county
ocd-division/country:us/state:ny/place:new_york/county:richmond,ocd-division/country:us/state:ny/county:richmond,New York City boroughs treated like any other county
ocd-division/country:us/state:ny/borough:bronx,ocd-division/country:us/state:ny/county:bronx,New York City boroughs treated like any other county
ocd-division/country:us/state:ny/borough:brooklyn,ocd-division/country:us/state:ny/county:kings,New York City boroughs treated like any other county
ocd-division/country:us/state:ny/borough:manhattan,ocd-division/country:us/state:ny/county:new_york,New York City boroughs treated like any other county
ocd-division/country:us/state:ny/borough:queens,ocd-division/country:us/state:ny/county:queens,New York City boroughs treated like any other county
ocd-division/country:us/state:ny/borough:staten_island,ocd-division/country:us/state:ny/county:richmond,New York City boroughs treated like any other county
ocd-division/country:us/state:sd/sldl:26,ocd-division/country:us/state:sd/sldu:26,Doesn't exist; 26A and 26B exist
ocd-division/country:us/state:sd/sldl:28,ocd-division/country:us/state:sd/sldu:28,Doesn't exist; 28A and 28B exist
ocd-division/country:us/state:nm/county:dona_ana,ocd-division/country:us/state:nm/county:doña_ana,care with the enye character (ñ)
ocd-division/country:us/state:ne/sldl:1,ocd-division/country:us/state:ne/sldu:1,Nebraska is unicameral
ocd-division/country:us/state:ne/sldl:2,ocd-division/country:us/state:ne/sldu:2,Nebraska is unicameral
ocd-division/country:us/state:ne/sldl:3,ocd-division/country:us/state:ne/sldu:3,Nebraska is unicameral
ocd-division/country:us/state:ne/sldl:4,ocd-division/country:us/state:ne/sldu:4,Nebraska is unicameral
ocd-division/country:us/state:ne/sldl:5,ocd-division/country:us/state:ne/sldu:5,Nebraska is unicameral
ocd-division/country:us/state:ne/sldl:6,ocd-division/country:us/state:ne/sldu:6,Nebraska is unicameral
ocd-division/country:us/state:ne/sldl:7,ocd-division/country:us/state:ne/sldu:7,Nebraska is unicameral
ocd-division/country:us/state:ne/sldl:8,ocd-division/country:us/state:ne/sldu:8,Nebraska is unicameral
ocd-division/country:us/state:ne/sldl:9,ocd-division/country:us/state:ne/sldu:9,Nebraska is unicameral
ocd-division/country:us/state:ne/sldl:10,ocd-division/country:us/state:ne/sldu:10,Nebraska is unicameral
ocd-division/country:us/state:ne/sldl:11,ocd-division/country:us/state:ne/sldu:11,Nebraska is unicameral
ocd-division/country:us/state:ne/sldl:12,ocd-division/country:us/state:ne/sldu:12,Nebraska is unicameral
ocd-division/country:us/state:ne/sldl:13,ocd-division/country:us/state:ne/sldu:13,Nebraska is unicameral
ocd-division/country:us/state:ne/sldl:14,ocd-division/country:us/state:ne/sldu:14,Nebraska is unicameral
ocd-division/country:us/state:ne/sldl:15,ocd-division/country:us/state:ne/sldu:15,Nebraska is unicameral
ocd-division/country:us/state:ne/sldl:16,ocd-division/country:us/state:ne/sldu:16,Nebraska is unicameral
ocd-division/country:us/state:ne/sldl:17,ocd-division/country:us/state:ne/sldu:17,Nebraska is unicameral
ocd-division/country:us/state:ne/sldl:18,ocd-division/country:us/state:ne/sldu:18,Nebraska is unicameral
ocd-division/country:us/state:ne/sldl:19,ocd-division/country:us/state:ne/sldu:19,Nebraska is unicameral
ocd-division/country:us/state:ne/sldl:20,ocd-division/country:us/state:ne/sldu:20,Nebraska is unicameral
ocd-division/country:us/state:ne/sldl:21,ocd-division/country:us/state:ne/sldu:21,Nebraska is unicameral
ocd-division/country:us/state:ne/sldl:22,ocd-division/country:us/state:ne/sldu:22,Nebraska is unicameral
ocd-division/country:us/state:ne/sldl:23,ocd-division/country:us/state:ne/sldu:23,Nebraska is unicameral
ocd-division/country:us/state:ne/sldl:24,ocd-division/country:us/state:ne/sldu:24,Nebraska is unicameral
ocd-division/country:us/state:ne/sldl:25,ocd-division/country:us/state:ne/sldu:25,Nebraska is unicameral
ocd-division/country:us/state:ne/sldl:26,ocd-division/country:us/state:ne/sldu:26,Nebraska is unicameral
ocd-division/country:us/state:ne/sldl:27,ocd-division/country:us/state:ne/sldu:27,Nebraska is unicameral
ocd-division/country:us/state:ne/sldl:28,ocd-division/country:us/state:ne/sldu:28,Nebraska is unicameral
ocd-division/country:us/state:ne/sldl:29,ocd-division/country:us/state:ne/sldu:29,Nebraska is unicameral
ocd-division/country:us/state:ne/sldl:30,ocd-division/country:us/state:ne/sldu:30,Nebraska is unicameral
ocd-division/country:us/state:ne/sldl:31,ocd-division/country:us/state:ne/sldu:31,Nebraska is unicameral
ocd-division/country:us/state:ne/sldl:32,ocd-division/country:us/state:ne/sldu:32,Nebraska is unicameral
ocd-division/country:us/state:ne/sldl:33,ocd-division/country:us/state:ne/sldu:33,Nebraska is unicameral
ocd-division/country:us/state:ne/sldl:34,ocd-division/country:us/state:ne/sldu:34,Nebraska is unicameral
ocd-division/country:us/state:ne/sldl:35,ocd-division/country:us/state:ne/sldu:35,Nebraska is unicameral
ocd-division/country:us/state:ne/sldl:36,ocd-division/country:us/state:ne/sldu:36,Nebraska is unicameral
ocd-division/country:us/state:ne/sldl:37,ocd-division/country:us/state:ne/sldu:37,Nebraska is unicameral
ocd-division/country:us/state:ne/sldl:38,ocd-division/country:us/state:ne/sldu:38,Nebraska is unicameral
ocd-division/country:us/state:ne/sldl:39,ocd-division/country:us/state:ne/sldu:39,Nebraska is unicameral
ocd-division/country:us/state:ne/sldl:40,ocd-division/country:us/state:ne/sldu:40,Nebraska is unicameral
ocd-division/country:us/state:ne/sldl:41,ocd-division/country:us/state:ne/sldu:41,Nebraska is unicameral
ocd-division/country:us/state:ne/sldl:42,ocd-division/country:us/state:ne/sldu:42,Nebraska is unicameral
ocd-division/country:us/state:ne/sldl:43,ocd-division/country:us/state:ne/sldu:43,Nebraska is unicameral
ocd-division/country:us/state:ne/sldl:44,ocd-division/country:us/state:ne/sldu:44,Nebraska is unicameral
ocd-division/country:us/state:ne/sldl:45,ocd-division/country:us/state:ne/sldu:45,Nebraska is unicameral
ocd-division/country:us/state:ne/sldl:46,ocd-division/country:us/state:ne/sldu:46,Nebraska is unicameral
ocd-division/country:us/state:ne/sldl:47,ocd-division/country:us/state:ne/sldu:47,Nebraska is unicameral
ocd-division/country:us/state:ne/sldl:48,ocd-division/country:us/state:ne/sldu:48,Nebraska is unicameral
ocd-division/country:us/state:ne/sldl:49,ocd-division/country:us/state:ne/sldu:49,Nebraska is unicameral
ocd-division/country:us/state:vt/sldu:grand-isle-chittenden,ocd-division/country:us/state:vt/sldu:grand_isle-chittenden,Easy mistake to make
ocd-division/country:us/state:vt/sldu:chittenden-grand_isle,ocd-division/country:us/state:vt/sldu:grand_isle-chittenden,Census and State Senate website disagree on ordering
ocd-division/country:us/state:vt/place:essex/precinct:chittenden_8-2,ocd-division/country:us/state:vt/place:essex_junction,The Essex precinct of Chittenden 8-2 is the same as the Village of Essex Junction
ocd-division/country:us/state:vt/place:springfield/precinct:windsor_3-1,ocd-division/country:us/state:vt/place:springfield,Do not believe this precinct exists because there is one polling place and no mention of precincts on clerk's website
ocd-division/country:us/state:vt/place:springfield/precinct:windsor_3-2,ocd-division/country:us/state:vt/place:springfield,Do not believe this precinct exists because there is one polling place and no mention of precincts on clerk's website
