id,sameAs,sameAsNote
ocd-division/country:us/state:in/county:fountain/commissioner_district:3,ocd-division/country:us/state:in/county:fountain/executive_district:3,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:franklin/commissioner_district:1,ocd-division/country:us/state:in/county:franklin/executive_district:1,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:franklin/commissioner_district:2,ocd-division/country:us/state:in/county:franklin/executive_district:2,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:franklin/commissioner_district:3,ocd-division/country:us/state:in/county:franklin/executive_district:3,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:fulton/commissioner_district:1,ocd-division/country:us/state:in/county:fulton/executive_district:1,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:fulton/commissioner_district:2,ocd-division/country:us/state:in/county:fulton/executive_district:2,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:fulton/commissioner_district:3,ocd-division/country:us/state:in/county:fulton/executive_district:3,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:gibson/commissioner_district:1,ocd-division/country:us/state:in/county:gibson/executive_district:1,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:gibson/commissioner_district:2,ocd-division/country:us/state:in/county:gibson/executive_district:2,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:gibson/commissioner_district:3,ocd-division/country:us/state:in/county:gibson/executive_district:3,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:grant/commissioner_district:1,ocd-division/country:us/state:in/county:grant/executive_district:1,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:grant/commissioner_district:2,ocd-division/country:us/state:in/county:grant/executive_district:2,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:grant/commissioner_district:3,ocd-division/country:us/state:in/county:grant/executive_district:3,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:greene/commissioner_district:1,ocd-division/country:us/state:in/county:greene/executive_district:1,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:greene/commissioner_district:2,ocd-division/country:us/state:in/county:greene/executive_district:2,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:greene/commissioner_district:3,ocd-division/country:us/state:in/county:greene/executive_district:3,better type name – hope to deprecate commissioner_district
