@id,name,census_geoid
ocd-division/country:us/state:ct/sldu:28,Connecticut State Senate district 28,09028
ocd-division/country:us/state:ct/sldu:29,Connecticut State Senate district 29,09029
ocd-division/country:us/state:ct/sldu:30,Connecticut State Senate district 30,09030
ocd-division/country:us/state:ct/sldu:31,Connecticut State Senate district 31,09031
ocd-division/country:us/state:ct/sldu:32,Connecticut State Senate district 32,09032
ocd-division/country:us/state:ct/sldu:33,Connecticut State Senate district 33,09033
ocd-division/country:us/state:ct/sldu:34,Connecticut State Senate district 34,09034
ocd-division/country:us/state:ct/sldu:35,Connecticut State Senate district 35,09035
ocd-division/country:us/state:ct/sldu:36,Connecticut State Senate district 36,09036
ocd-division/country:us/state:de/sldu:1,Delaware State Senate district 1,10001
ocd-division/country:us/state:de/sldu:2,Delaware State Senate district 2,10002
ocd-division/country:us/state:de/sldu:3,Delaware State Senate district 3,10003
ocd-division/country:us/state:de/sldu:4,Delaware State Senate district 4,10004
ocd-division/country:us/state:de/sldu:5,Delaware State Senate district 5,10005
ocd-division/country:us/state:de/sldu:6,Delaware State Senate district 6,10006
ocd-division/country:us/state:de/sldu:7,Delaware State Senate district 7,10007
ocd-division/country:us/state:de/sldu:8,Delaware State Senate district 8,10008
ocd-division/country:us/state:de/sldu:9,Delaware State Senate district 9,10009
ocd-division/country:us/state:de/sldu:10,Delaware State Senate district 10,10010
ocd-division/country:us/state:de/sldu:11,Delaware State Senate district 11,10011
ocd-division/country:us/state:de/sldu:12,Delaware State Senate district 12,10012
ocd-division/country:us/state:de/sldu:13,Delaware State Senate district 13,10013
ocd-division/country:us/state:de/sldu:14,Delaware State Senate district 14,10014
ocd-division/country:us/state:de/sldu:15,Delaware State Senate district 15,10015
ocd-division/country:us/state:de/sldu:16,Delaware State Senate district 16,10016
ocd-division/country:us/state:de/sldu:17,Delaware State Senate district 17,10017
ocd-division/country:us/state:de/sldu:18,Delaware State Senate district 18,10018
ocd-division/country:us/state:de/sldu:19,Delaware State Senate district 19,10019
ocd-division/country:us/state:de/sldu:20,Delaware State Senate district 20,10020
ocd-division/country:us/state:de/sldu:21,Delaware State Senate district 21,10021
ocd-division/country:us/district:dc/ward:1,District of Columbia Ward 1,11001
ocd-division/country:us/district:dc/ward:2,District of Columbia Ward 2,11002
ocd-division/country:us/district:dc/ward:3,District of Columbia Ward 3,11003
ocd-division/country:us/district:dc/ward:4,District of Columbia Ward 4,11004
ocd-division/country:us/district:dc/ward:5,District of Columbia Ward 5,11005
ocd-division/country:us/district:dc/ward:6,District of Columbia Ward 6,11006
ocd-division/country:us/district:dc/ward:7,District of Columbia Ward 7,11007
ocd-division/country:us/district:dc/ward:8,District of Columbia Ward 8,11008
ocd-division/country:us/state:fl/sldu:1,Florida State Senate district 1,12001
ocd-division/country:us/state:fl/sldu:2,Florida State Senate district 2,12002
ocd-division/country:us/state:fl/sldu:3,Florida State Senate district 3,12003
ocd-division/country:us/state:fl/sldu:4,Florida State Senate district 4,12004
ocd-division/country:us/state:fl/sldu:5,Florida State Senate district 5,12005
ocd-division/country:us/state:fl/sldu:6,Florida State Senate district 6,12006
ocd-division/country:us/state:fl/sldu:7,Florida State Senate district 7,12007
ocd-division/country:us/state:fl/sldu:8,Florida State Senate district 8,12008
ocd-division/country:us/state:fl/sldu:9,Florida State Senate district 9,12009
ocd-division/country:us/state:fl/sldu:10,Florida State Senate district 10,12010
ocd-division/country:us/state:fl/sldu:11,Florida State Senate district 11,12011
ocd-division/country:us/state:fl/sldu:12,Florida State Senate district 12,12012
ocd-division/country:us/state:fl/sldu:13,Florida State Senate district 13,12013
ocd-division/country:us/state:fl/sldu:14,Florida State Senate district 14,12014
ocd-division/country:us/state:fl/sldu:15,Florida State Senate district 15,12015
ocd-division/country:us/state:fl/sldu:16,Florida State Senate district 16,12016
ocd-division/country:us/state:fl/sldu:17,Florida State Senate district 17,12017
ocd-division/country:us/state:fl/sldu:18,Florida State Senate district 18,12018
ocd-division/country:us/state:fl/sldu:19,Florida State Senate district 19,12019
ocd-division/country:us/state:fl/sldu:20,Florida State Senate district 20,12020
ocd-division/country:us/state:fl/sldu:21,Florida State Senate district 21,12021
ocd-division/country:us/state:fl/sldu:22,Florida State Senate district 22,12022
ocd-division/country:us/state:fl/sldu:23,Florida State Senate district 23,12023
ocd-division/country:us/state:fl/sldu:24,Florida State Senate district 24,12024
ocd-division/country:us/state:fl/sldu:25,Florida State Senate district 25,12025
ocd-division/country:us/state:fl/sldu:26,Florida State Senate district 26,12026
ocd-division/country:us/state:fl/sldu:27,Florida State Senate district 27,12027
ocd-division/country:us/state:fl/sldu:28,Florida State Senate district 28,12028
ocd-division/country:us/state:fl/sldu:29,Florida State Senate district 29,12029
ocd-division/country:us/state:fl/sldu:30,Florida State Senate district 30,12030
ocd-division/country:us/state:fl/sldu:31,Florida State Senate district 31,12031
ocd-division/country:us/state:fl/sldu:32,Florida State Senate district 32,12032
ocd-division/country:us/state:fl/sldu:33,Florida State Senate district 33,12033
ocd-division/country:us/state:fl/sldu:34,Florida State Senate district 34,12034
ocd-division/country:us/state:fl/sldu:35,Florida State Senate district 35,12035
ocd-division/country:us/state:fl/sldu:36,Florida State Senate district 36,12036
ocd-division/country:us/state:fl/sldu:37,Florida State Senate district 37,12037
ocd-division/country:us/state:fl/sldu:38,Florida State Senate district 38,12038
ocd-division/country:us/state:fl/sldu:39,Florida State Senate district 39,12039
ocd-division/country:us/state:fl/sldu:40,Florida State Senate district 40,12040
ocd-division/country:us/state:ga/sldu:1,Georgia State Senate district 1,13001
ocd-division/country:us/state:ga/sldu:2,Georgia State Senate district 2,13002
ocd-division/country:us/state:ga/sldu:3,Georgia State Senate district 3,13003
ocd-division/country:us/state:ga/sldu:4,Georgia State Senate district 4,13004
ocd-division/country:us/state:ga/sldu:5,Georgia State Senate district 5,13005
ocd-division/country:us/state:ga/sldu:6,Georgia State Senate district 6,13006
ocd-division/country:us/state:ga/sldu:7,Georgia State Senate district 7,13007
ocd-division/country:us/state:ga/sldu:8,Georgia State Senate district 8,13008
ocd-division/country:us/state:ga/sldu:9,Georgia State Senate district 9,13009
ocd-division/country:us/state:ga/sldu:10,Georgia State Senate district 10,13010
ocd-division/country:us/state:ga/sldu:11,Georgia State Senate district 11,13011
ocd-division/country:us/state:ga/sldu:12,Georgia State Senate district 12,13012
ocd-division/country:us/state:ga/sldu:13,Georgia State Senate district 13,13013
ocd-division/country:us/state:ga/sldu:14,Georgia State Senate district 14,13014
ocd-division/country:us/state:ga/sldu:15,Georgia State Senate district 15,13015
ocd-division/country:us/state:ga/sldu:16,Georgia State Senate district 16,13016
ocd-division/country:us/state:ga/sldu:17,Georgia State Senate district 17,13017
ocd-division/country:us/state:ga/sldu:18,Georgia State Senate district 18,13018
ocd-division/country:us/state:ga/sldu:19,Georgia State Senate district 19,13019
ocd-division/country:us/state:ga/sldu:20,Georgia State Senate district 20,13020
ocd-division/country:us/state:ga/sldu:21,Georgia State Senate district 21,13021
ocd-division/country:us/state:ga/sldu:22,Georgia State Senate district 22,13022
ocd-division/country:us/state:ga/sldu:23,Georgia State Senate district 23,13023
ocd-division/country:us/state:ga/sldu:24,Georgia State Senate district 24,13024
ocd-division/country:us/state:ga/sldu:25,Georgia State Senate district 25,13025
ocd-division/country:us/state:ga/sldu:26,Georgia State Senate district 26,13026
ocd-division/country:us/state:ga/sldu:27,Georgia State Senate district 27,13027
ocd-division/country:us/state:ga/sldu:28,Georgia State Senate district 28,13028
ocd-division/country:us/state:ga/sldu:29,Georgia State Senate district 29,13029
ocd-division/country:us/state:ga/sldu:30,Georgia State Senate district 30,13030
ocd-division/country:us/state:ga/sldu:31,Georgia State Senate district 31,13031
ocd-division/country:us/state:ga/sldu:32,Georgia State Senate district 32,13032
ocd-division/country:us/state:ga/sldu:33,Georgia State Senate district 33,13033
ocd-division/country:us/state:ga/sldu:34,Georgia State Senate district 34,13034
ocd-division/country:us/state:ga/sldu:35,Georgia State Senate district 35,13035
ocd-division/country:us/state:ga/sldu:36,Georgia State Senate district 36,13036
ocd-division/country:us/state:ga/sldu:37,Georgia State Senate district 37,13037
ocd-division/country:us/state:ga/sldu:38,Georgia State Senate district 38,13038
ocd-division/country:us/state:ga/sldu:39,Georgia State Senate district 39,13039
ocd-division/country:us/state:ga/sldu:40,Georgia State Senate district 40,13040
ocd-division/country:us/state:ga/sldu:41,Georgia State Senate district 41,13041
ocd-division/country:us/state:ga/sldu:42,Georgia State Senate district 42,13042
ocd-division/country:us/state:ga/sldu:43,Georgia State Senate district 43,13043
ocd-division/country:us/state:ga/sldu:44,Georgia State Senate district 44,13044
ocd-division/country:us/state:ga/sldu:45,Georgia State Senate district 45,13045
ocd-division/country:us/state:ga/sldu:46,Georgia State Senate district 46,13046
ocd-division/country:us/state:ga/sldu:47,Georgia State Senate district 47,13047
ocd-division/country:us/state:ga/sldu:48,Georgia State Senate district 48,13048
ocd-division/country:us/state:ga/sldu:49,Georgia State Senate district 49,13049
ocd-division/country:us/state:ga/sldu:50,Georgia State Senate district 50,13050
ocd-division/country:us/state:ga/sldu:51,Georgia State Senate district 51,13051
ocd-division/country:us/state:ga/sldu:52,Georgia State Senate district 52,13052
ocd-division/country:us/state:ga/sldu:53,Georgia State Senate district 53,13053
ocd-division/country:us/state:ga/sldu:54,Georgia State Senate district 54,13054
ocd-division/country:us/state:ga/sldu:55,Georgia State Senate district 55,13055
ocd-division/country:us/state:ga/sldu:56,Georgia State Senate district 56,13056
